VM3A.A10.RM1245.Zone Air Temp
VM3A.A10.RM1245.Zone Air Temp Setpoint
VM3A.A10.RM1245:AIR VOL
VM3A.A10.RM1245:AIR VOL SP
VM3A.A10.RM1245:COOL DEMAND
VM3A.A10.RM1245:HEAT DEMAND
VM3A.A10.RM1245:JAM ALARM
VM3A.A10.RM1245:OCC  CMD
VM3A.A10.RM1245:OCC CLG STPT
VM3A.A10.RM1245:OCC CMD
VM3A.A10.RM1245:OCC HTG STPT
VM3A.A10.RM1245:SUP TEMP
VM3A.A10.RM1245:UOC CLG STPT
VM3A.A10.RM1245:UOC HTG STPT
VM3A.A10.RM1300B.Zone Air Temp
VM3A.A10.RM1300B.Zone Air Temp Setpoint
VM3A.A10.RM1300B:AIR VOL
VM3A.A10.RM1300B:AIR VOL SP
VM3A.A10.RM1300B:COOL DEMAND
VM3A.A10.RM1300B:HEAT DEMAND
VM3A.A10.RM1300B:JAM ALARM
VM3A.A10.RM1300B:OCC CLG STPT
VM3A.A10.RM1300B:OCC CMD
VM3A.A10.RM1300B:OCC HTG STPT
VM3A.A10.RM1300B:SUP TEMP
VM3A.A10.RM1300B:UOC CLG STPT
VM3A.A10.RM1300B:UOC HTG STPT
VM3A.A10.RM1300F.Zone Air Temp
VM3A.A10.RM1300F.Zone Air Temp Setpoint
VM3A.A10.RM1300F:AIR VOL
VM3A.A10.RM1300F:AIR VOL SP
VM3A.A10.RM1300F:COOL DEMAND
VM3A.A10.RM1300F:HEAT DEMAND
VM3A.A10.RM1300F:JAM ALARM
VM3A.A10.RM1300F:OCC CLG STPT
VM3A.A10.RM1300F:OCC CMD
VM3A.A10.RM1300F:OCC HTG STPT
VM3A.A10.RM1300F:SUP TEMP
VM3A.A10.RM1300F:UOC CLG STPT
VM3A.A10.RM1300F:UOC HTG STPT
VM3A.A10.RM1300G.Zone Air Temp
VM3A.A10.RM1300G.Zone Air Temp Setpoint
VM3A.A10.RM1300G:AIR VOL
VM3A.A10.RM1300G:AIR VOL SP
VM3A.A10.RM1300G:COOL DEMAND
VM3A.A10.RM1300G:HEAT DEMAND
VM3A.A10.RM1300G:JAM ALARM
VM3A.A10.RM1300G:OCC CLG STPT
VM3A.A10.RM1300G:OCC CMD
VM3A.A10.RM1300G:OCC HTG STPT
VM3A.A10.RM1300G:SUP TEMP
VM3A.A10.RM1300G:UOC CLG STPT
