THUR.AC01.RMT
THUR.AC02.RMT
THUR.AC03.RMT
THUR.AC4:ANALOG OUT 0
THUR.AC4:ANALOG OUT 1
THUR.AHU.AC01.MAXVAV
THUR.AHU.AC01.RF.VFD Frequency
THUR.AHU.AC01.RF.VFD Speed
THUR.AHU.AC01.RFVFD:HANDAUTO ACT
THUR.AHU.AC01.RFVFD:PCT OUTPUT
THUR.AHU.AC01.RFVFD:POWER
THUR.AHU.AC01.SF.VFD Frequency
THUR.AHU.AC01.SF.VFD Speed
THUR.AHU.AC01.SFVFD:HANDAUTO ACT
THUR.AHU.AC01.SFVFD:PCT OUTPUT
THUR.AHU.AC01.SFVFD:POWER
THUR.AHU.AC01.Zone Air Temp
THUR.AHU.AC02.EF.STATUS
THUR.AHU.AC02.EXHDP
THUR.AHU.AC02.EXHSSP
THUR.AHU.AC02.NIGHTSETBACK
THUR.AHU.AC02.RAC VALVE
THUR.AHU.AC02.SF.Speed
THUR.AHU.AC02.SF.Status
THUR.AHU.AC02.SF.VFD Frequency
THUR.AHU.AC02.SF.VFD Speed
THUR.AHU.AC02.SFVFD:HANDAUTO ACT
THUR.AHU.AC02.SFVFD:OK.FAULT
THUR.AHU.AC02.SFVFD:PCT OUTPUT
THUR.AHU.AC02.SFVFD:POWER
THUR.AHU.AC02.Supply Air Temp
THUR.AHU.AC02.Supply Air Temp Setpoint
THUR.AHU.AC02.Supply Static Pressure
THUR.AHU.AC02.Zone Air Temp
THUR.AHU.AC03.CCO
THUR.AHU.AC03.CCV
THUR.AHU.AC03.EF.STATUS
THUR.AHU.AC03.HCO
THUR.AHU.AC03.NIGHTSETBACK
THUR.AHU.AC03.RAC VALVE
THUR.AHU.AC03.RMDP
THUR.AHU.AC03.ROOM TEMP
THUR.AHU.AC03.ROOM TEMP.SP
THUR.AHU.AC03.SF.Speed
THUR.AHU.AC03.SF.Status
THUR.AHU.AC03.SF.VFD Frequency
THUR.AHU.AC03.SF.VFD Speed
THUR.AHU.AC03.SFVFD:HANDAUTO ACT
THUR.AHU.AC03.SFVFD:OK.FAULT
THUR.AHU.AC03.SFVFD:PCT OUTPUT
THUR.AHU.AC03.SFVFD:POWER
THUR.AHU.AC03.Supply Air Temp
THUR.AHU.AC03.Supply Air Temp Setpoint
THUR.AHU.AC03.Zone Air Temp
THUR.AHU.AC03.Zone Air Temp.Day Night
THUR.AHU.AC04.CCO
THUR.AHU.AC04.CCV
THUR.AHU.AC04.HCO
THUR.AHU.AC04.HCV
THUR.AHU.AC04.Outside Air Temp Virtual
THUR.AHU.AC04.SF.Speed
THUR.AHU.AC04.SF.Start Stop
THUR.AHU.AC04.SF.Status
THUR.AHU.AC04.SF.VFD Frequency
THUR.AHU.AC04.SF.VFD Speed
THUR.AHU.AC04.SFVFD:PCT OUTPUT
THUR.AHU.AC04.SFVFD:POWER
THUR.AHU.AC04.Supply Air Temp
THUR.AHU.AC04.Supply Air Temp Setpoint
THUR.AHU.AC04.SYSTEM ENABLE
THUR.AHU.AC04.Zone Air Temp
THUR.AHU.AHU01.CCO
THUR.AHU.AHU01.CCV
THUR.AHU.AHU01.Cooling Enable
THUR.AHU.AHU01.Duct Static Pressure Setpoint
THUR.AHU.AHU01.EAO
THUR.AHU.AHU01.ECM
THUR.AHU.AHU01.Filter
THUR.AHU.AHU01.HIGH CUTOUT
THUR.AHU.AHU01.MAM
THUR.AHU.AHU01.MAO
THUR.AHU.AHU01.MAS
THUR.AHU.AHU01.MINAO
THUR.AHU.AHU01.Mixed Air Damper Position
THUR.AHU.AHU01.Mixed Air Temp
THUR.AHU.AHU01.Mode
THUR.AHU.AHU01.NGT OVR
THUR.AHU.AHU01.Outside Air Temp
THUR.AHU.AHU01.Outside Air Temp Virtual
THUR.AHU.AHU01.RAFMS
THUR.AHU.AHU01.RAO
THUR.AHU.AHU01.RET SPEED
THUR.AHU.AHU01.RET VANE
THUR.AHU.AHU01.Return Air Flow
THUR.AHU.AHU01.Return Air Temp
THUR.AHU.AHU01.RFAN
THUR.AHU.AHU01.Run Status
THUR.AHU.AHU01.Run Status Sum
THUR.AHU.AHU01.SAFMS
THUR.AHU.AHU01.SFAN
THUR.AHU.AHU01.SSD
THUR.AHU.AHU01.SUP SPEED
THUR.AHU.AHU01.SUP VANE
THUR.AHU.AHU01.Supply Air Flow
THUR.AHU.AHU01.Supply Air Temp
THUR.AHU.AHU01.Supply Air Temp Setpoint
THUR.AHU.AHU01.Supply Static Pressure
THUR.AHU.AHU01.Supply Static Pressure Setpoint
THUR.AHU.AHU01.Zone Air Temp
THUR.AHU.AHU02.Run Status
THUR.AHU.AHU02.Run Status Sum
THUR.AHU.AHU02.Zone Air Temp
THUR.AHU.AHU03.Run Status
THUR.AHU.AHU03.Run Status Sum
THUR.AHU.AHU03.Zone Air Temp
THUR.AHU.AHU_AC01.Run Status
THUR.AHU.AHU_AC01.Run Status Sum
THUR.AHU.AHU_AC02.Run Status
THUR.AHU.AHU_AC02.Run Status Sum
THUR.AHU.AHU_AC03.Run Status
THUR.AHU.AHU_AC03.Run Status Sum
THUR.AHU.AHU_AC1.Run Status
THUR.AHU.AHU_AC1.Run Status Sum
THUR.AHU.AHU_AC2.Run Status
THUR.AHU.AHU_AC2.Run Status Sum
THUR.AHU.AHU_AC3.Run Status
THUR.AHU.AHU_AC3.Run Status Sum
THUR.AHU2.RMT
THUR.AHU3.RMT
THUR.BSL3.ALARM OUT
THUR.BSL3.PRESS.ALARM OUT
THUR.CAHU-1.SF.Status
THUR.CAHU-2.SF.Status
THUR.CAHU-3.SF.Status
THUR.CC9.RM1305B.Day Night
THUR.CC9.RM1305B.Heat Cool
THUR.CC9.RM1305B.RMTV
THUR.CC9.RM1305B.Zone Air Temp
THUR.CC9.RM1305B:CLG LOOPOUT
THUR.CC9.RM1305B:CTL STPT
THUR.CC9.RM1305B:CTL TEMP
THUR.CC9.RM1305B:DAY CLG STPT
THUR.CC9.RM1305B:DAY HTG STPT
THUR.CC9.RM1305B:FAN
THUR.CC9.RM1305B:STPT DIAL
THUR.CC9.RM1305B:SUPPLY TEMP
THUR.CC9.RM1305B:VLV 1 COMD
THUR.CC9.RM1305B:VLV 1 POS
THUR.CC9.RM1305B:VLV 2 COMD
THUR.CC9.RM1305B:VLV 2 POS
THUR.CCHC10.RM1304.Day Night
THUR.CCHC10.RM1304.Heat Cool
THUR.CCHC10.RM1304.RMTV
THUR.CCHC10.RM1304.Zone Air Temp
THUR.CCHC10.RM1304:AUX TEMP
THUR.CCHC10.RM1304:CTL STPT
THUR.CCHC10.RM1304:CTL TEMP
THUR.CCHC10.RM1304:FAN
THUR.CCHC10.RM1304:RM STPT DIAL
THUR.CCHC10.RM1304:VLV 1 COMD
THUR.CCHC10.RM1304:VLV 1 POS
THUR.CCHC10.RM1304:VLV 2 COMD
THUR.CCHC10.RM1304:VLV 2 POS
THUR.CCHC3.RM1315.Day Night
THUR.CCHC3.RM1315.Heat Cool
THUR.CCHC3.RM1315.Zone Air Temp
THUR.CCHC3.RM1315:AUX TEMP
THUR.CCHC3.RM1315:CTL STPT
THUR.CCHC3.RM1315:CTL TEMP
THUR.CCHC3.RM1315:FAN
THUR.CCHC3.RM1315:VLV 1 COMD
THUR.CCHC3.RM1315:VLV 1 POS
THUR.CCHC3.RM1315:VLV 2 COMD
THUR.CCHC3.RM1315:VLV 2 POS
THUR.CCHC4.RM1313.Day Night
THUR.CCHC4.RM1313.Heat Cool
THUR.CCHC4.RM1313.Zone Air Temp
THUR.CCHC4.RM1313:AUX TEMP
THUR.CCHC4.RM1313:CTL STPT
THUR.CCHC4.RM1313:CTL TEMP
THUR.CCHC4.RM1313:FAN
THUR.CCHC4.RM1313:VLV 1 COMD
THUR.CCHC4.RM1313:VLV 1 POS
THUR.CCHC4.RM1313:VLV 2 COMD
THUR.CCHC4.RM1313:VLV 2 POS
THUR.CHILLER.DV1.Enable
THUR.CHILLER.DV1.STATUS
THUR.CHILLER.FLOW STATUS
THUR.CHILLER.IV1.STATUS
THUR.CHILLER.IV1_2_3.Enable
THUR.CHILLER.IV2.STATUS
THUR.CHILLER.P5.Start Stop
THUR.CHILLER.P5.STATUS
THUR.CHILLER.P6.Start Stop
THUR.CHILLER.P6.STATUS
