AQUA.DCW.Flow
AQUA.HX1.FLOWSW
AQUA.HX1.Hot Water Return Temp
AQUA.HX1.Hot Water Supply Temp
AQUA.HX1.HWP1
AQUA.HX1.HWSETPOINT
AQUA.HX1.INTGRL
AQUA.HX1.PROP
AQUA.HX1.STEAMVLV
AQUA.HX1.STEAMVLVCALC
AQUA.HX1.STEAMVLVO
AQUA.HX1.STEAMVLVRAMP
AQUA.HX3.Call
AQUA.HX3.FLOWSW
AQUA.HX3.Hot Water Return Temp
AQUA.HX3.Hot Water Supply Temp
AQUA.HX3.HWSETPOINT
AQUA.HX3.INTGRL
AQUA.HX3.PROP
AQUA.HX3.STEAMVLV
AQUA.HX3.STEAMVLVCALC
AQUA.HX3.STEAMVLVO
AQUA.HX3.STEAMVLVRAMP
AQUA.HX4.Call
AQUA.HX4.FLOWSW
AQUA.HX4.Hot Water Return Temp
AQUA.HX4.Hot Water Supply Temp
AQUA.HX4.HWSETPOINT
AQUA.HX4.INTGRL
AQUA.HX4.PROP
AQUA.HX4.STEAMVLV
AQUA.HX4.STEAMVLVCALC
AQUA.HX4.STEAMVLVO
AQUA.HX4.STEAMVLVRAMP
AQUA.HX5.Call
AQUA.HX5.FLOWSW
AQUA.HX5.Hot Water Return Temp
AQUA.HX5.Hot Water Supply Temp
AQUA.HX5.HWSETPOINT
AQUA.HX5.INTGRL
AQUA.HX5.PROP
AQUA.HX5.STEAMVLV
AQUA.HX5.STEAMVLVCALC
AQUA.HX5.STEAMVLVO
AQUA.HX5.STEAMVLVRAMP
AQUA.MECPOWERLOSSES
AQUA.OATAVG
AQUA.OATAVGTREND
AQUA.Outside Air Temp
AQUA.STEAM PRESS AVG
AQUA.STEAM.Flow
AQUA.STEAM.FLOW.DAILY
AQUA.STEAM.FLOW.DAILYACCUM
AQUA.STEAM.Flow.HOUR
AQUA.STEAM.FLOW.HOURLY
AQUA.STEAM.FLOW.HOURPEAK
AQUA.STEAM.FLOW.MONTHLY
AQUA.STEAM.Flow.PEAK
AQUA.STEAM.PSI
AQUA.STEAM.TEMP
