GILM.AHU.AHU01.CCO
GILM.AHU.AHU01.CCV
GILM.AHU.AHU01.EAD
GILM.AHU.AHU01.FREEZE
GILM.AHU.AHU01.HCV
GILM.AHU.AHU01.Mixed Air Temp
GILM.AHU.AHU01.Outside Air Temp
GILM.AHU.AHU01.RAF.HOA
GILM.AHU.AHU01.RF.Start Stop
GILM.AHU.AHU01.Run Status
GILM.AHU.AHU01.Run Status Sum
GILM.AHU.AHU01.SACLGSETPOINT
GILM.AHU.AHU01.SAF.HOA
GILM.AHU.AHU01.SF.Start Stop
GILM.AHU.AHU01.Supply Air Temp
GILM.CHW.1ST STAGE
GILM.CHW.1STCLG
GILM.CHW.2NDCLG
GILM.CHW.BLGDPSP
GILM.CHW.BRIDGE
GILM.CHW.BRIDGEPOS
GILM.CHW.Call42ND
GILM.CHW.CHVLOOP
GILM.CHW.CHWSSETPOINT
GILM.CHW.ECONOMIZER
GILM.CHW.ECONOMIZERPOS
GILM.CHW.LCHWRP
GILM.CHW.LCHWSP
GILM.CHW.Loop Chilled Water Diff Pressure
GILM.CHW.Loop Chilled Water Flow
GILM.CHW.Loop Chilled Water Return Temp
GILM.CHW.Loop Chilled Water Supply Temp
GILM.CHW.PUMP.HOA
GILM.CHW.PUMP.Speed
GILM.CHW.PUMP.Start Stop
GILM.CHW.PUMPBYPASS
GILM.H2O.Building Diff Pressure
GILM.H2O.Building Flow
GILM.H2O.Mode
GILM.H2O.RETURN
GILM.H2O.SUPPLY
GILM.HHW.ISOVLV
GILM.HHW.MODVLV
GILM.HHW.MODVLVPOS
GILM.MAU01.ALARM
GILM.MAU01.CCV
GILM.MAU01.CVO
GILM.MAU01.FILTER
GILM.MAU01.HOA
GILM.MAU01.HSP
GILM.MAU01.LOWLIMIT
GILM.MAU01.LTD
GILM.MAU01.OCC
GILM.MAU01.Outside Air Temp
GILM.MAU01.RMSTPT
GILM.MAU01.SAFETYRESET
GILM.MAU01.SAS MAX
GILM.MAU01.SAS MIN
GILM.MAU01.SATO
GILM.MAU01.SSD
GILM.MAU01.Start Stop
GILM.MAU01.Supply Air Temp
GILM.MAU01.Supply Air Temp Setpoint
GILM.MAU01.Supply Air Temp.COLD
GILM.MAU01.Supply Air Temp.VERYCOLD
GILM.MAU01.Zone Air Temp
GILM.Outside Air Temp
GILM.ZONE1.TEMP
GILM.ZONE1.VALVE
GILM.ZONE12.Mixed Air Damper Position
GILM.ZONE12.SETPOINT
GILM.ZONE12.Supply Air Temp
GILM.ZONE12.TEMP
GILM.ZONE2.TEMP
GILM.ZONE2.VALVE
GILM.ZONE3.TEMP
GILM.ZONE3.VALVE
GILM.ZONE4.TEMP
GILM.ZONE4.VALVE
GILM.ZONE5.TEMP
GILM.ZONE5.VALVE
GILM.ZONE6.TEMP
GILM.ZONE6.VALVE
GILM.ZONE9.TEMP
GILM.ZONE9.VALVE
