VMLF.A2.RM1140_3:CTL STPT
VMLF.A2.RM1140_3:DMPR COMD
VMLF.A2.RM1140_3:VLV COMD
VMLF.A2.RM1140_4.Zone Air Temp
VMLF.A2.RM1140_4:CTL STPT
VMLF.A2.RM1140_4:DMPR COMD
VMLF.A2.RM1140_4:VLV COMD
VMLF.A2.RM1143.OCCSENSOR
VMLF.A2.RM1143.Zone Air Temp
VMLF.A2.RM1143:CTL STPT
VMLF.A2.RM1143:VLV COMD
VMLF.A2.RM1145.OCCSENSOR
VMLF.A2.RM1145.Zone Air Temp
VMLF.A2.RM1145:CTL STPT
VMLF.A2.RM1145:VLV1 COMD
VMLF.A2.RM1147.OCCSENSOR
VMLF.A2.RM1147.Zone Air Temp
VMLF.A2.RM1147:CTL STPT
VMLF.A2.RM1147:VLV COMD
VMLF.A2.RM1147A.Zone Air Temp
VMLF.A2.RM1147A:CTL STPT
VMLF.A2.RM1147A:DMPR COMD
VMLF.A2.RM1147A:VLV COMD
VMLF.A2.RM1150_1.Zone Air Temp
VMLF.A2.RM1150_1:CTL STPT
VMLF.A2.RM1150_1:DMPR COMD
VMLF.A2.RM1150_1:VLV COMD
VMLF.A2.RM1150_2.Zone Air Temp
VMLF.A2.RM1150_2:CTL STPT
VMLF.A2.RM1150_2:DMPR COMD
VMLF.A2.RM1150_2:VLV COMD
VMLF.A2.RM1155.Zone Air Temp
VMLF.A2.RM1155:CTL STPT
VMLF.A2.RM1155:DMPR COMD
VMLF.A2.RM1155:VLV COMD
VMLF.A2.RM1155A.OCCSENSOR
VMLF.A2.RM1155A.Zone Air Temp
VMLF.A2.RM1155A:CTL STPT
VMLF.A2.RM1155A:DMPR COMD
VMLF.A2.RM1155A:VLV COMD
VMLF.A2.RM1156A.OCCSENSOR
VMLF.A2.RM1156A.Zone Air Temp
VMLF.A2.RM1156A:CTL STPT
VMLF.A2.RM1156A:DMPR COMD
VMLF.A2.RM1156A:VLV COMD
VMLF.A2.RM1157.OCCSENSOR
VMLF.A2.RM1157.Zone Air Temp
VMLF.A2.RM1157:CTL STPT
VMLF.A2.RM1157:DMPR COMD
VMLF.A2.RM1157:VLV COMD
VMLF.A2.RM1158_1.Zone Air Temp
VMLF.A2.RM1158_1:CTL STPT
VMLF.A2.RM1158_1:DMPR COMD
VMLF.A2.RM1158_1:VLV COMD
VMLF.A2.RM1158_2.Zone Air Temp
VMLF.A2.RM1158_2:CTL STPT
VMLF.A2.RM1158_2:DMPR COMD
VMLF.A2.RM1158_2:VLV COMD
VMLF.A2.RM1158_3.Zone Air Temp
VMLF.A2.RM1158_3:CTL STPT
VMLF.A2.RM1158_3:DMPR COMD
VMLF.A2.RM1158_3:VLV COMD
VMLF.A2.RM1159.OCCSENSOR
VMLF.A2.RM1159.Zone Air Temp
VMLF.A2.RM1159:CTL STPT
VMLF.A2.RM1159:DMPR COMD
VMLF.A2.RM1159:VLV COMD
VMLF.A2.RM1160A.OCCSENSOR
VMLF.A2.RM1160A.Zone Air Temp
VMLF.A2.RM1160A:CTL STPT
VMLF.A2.RM1160A:DMPR COMD
VMLF.A2.RM1160A:VLV1 COMD
VMLF.A2.RM1160_1.Zone Air Temp
VMLF.A2.RM1160_1:CTL STPT
VMLF.A2.RM1160_1:DMPR COMD
VMLF.A2.RM1160_1:VLV COMD
VMLF.A2.RM1160_2.Zone Air Temp
VMLF.A2.RM1160_2:CTL STPT
VMLF.A2.RM1160_2:DMPR COMD
VMLF.A2.RM1160_2:VLV COMD
VMLF.A2.RM1160_3.Zone Air Temp
VMLF.A2.RM1160_3:CTL STPT
VMLF.A2.RM1160_3:DMPR COMD
VMLF.A2.RM1160_3:VLV COMD
VMLF.A2.RM1202.Zone Air Temp
VMLF.A2.RM1202:CTL STPT
VMLF.A2.RM1202:DMPR COMD
VMLF.A2.RM1202:VLV COMD
VMLF.A2.RM1203.Zone Air Temp
VMLF.A2.RM1203:CTL STPT
VMLF.A2.RM1203:DMPR COMD
VMLF.A2.RM1203:VLV COMD
VMLF.A2.RM1209.Zone Air Temp
VMLF.A2.RM1209:CTL STPT
VMLF.A2.RM1209:DMPR COMD
VMLF.A2.RM1209:VLV COMD
VMLF.A2.RM1214.Zone Air Temp
VMLF.A2.RM1214:CTL STPT
VMLF.A2.RM1214:DMPR COMD
VMLF.A2.RM1214:VLV COMD
VMLF.A2.RM1215.Zone Air Temp
VMLF.A2.RM1215:CTL STPT
VMLF.A2.RM1215:DMPR COMD
VMLF.A2.RM1215:VLV COMD
VMLF.A2.RM1216.Zone Air Temp
VMLF.A2.RM1216:CTL STPT
VMLF.A2.RM1216:DMPR COMD
VMLF.A2.RM1216:VLV COMD
VMLF.A2.RM1218.Zone Air Temp
VMLF.A2.RM1218:CTL STPT
VMLF.A2.RM1218:DMPR COMD
VMLF.A2.RM1218:VLV COMD
VMLF.A2.RM1219.Zone Air Temp
VMLF.A2.RM1219:CTL STPT
VMLF.A2.RM1219:DMPR COMD
VMLF.A2.RM1219:VLV COMD
VMLF.A2.RM1220.Zone Air Temp
VMLF.A2.RM1220:CTL STPT
VMLF.A2.RM1220:DMPR COMD
VMLF.A2.RM1220:VLV COMD
VMLF.A2.RM1235.Zone Air Temp
VMLF.A2.RM1235:CTL STPT
VMLF.A2.RM1235:DMPR COMD
VMLF.A2.RM1235:VLV1 COMD
VMLF.A2.RMSHALL.Zone Air Temp
VMLF.A2.RMSHALL:CTL STPT
VMLF.A2.RMSHALL:DMPR COMD
VMLF.A2.RMSHALL:VLV1 COMD
VMLF.A2.S2HALL.Zone Air Temp
VMLF.A2.S2HALL:CTL STPT
VMLF.A2.S2HALL:DMPR COMD
VMLF.A2.S2HALL:VLV1 COMD
VMLF.AHU.AHU01.CCO
VMLF.AHU.AHU01.CCV
VMLF.AHU.AHU01.Duct Static Pressure Setpoint
VMLF.AHU.AHU01.EAD
VMLF.AHU.AHU01.EAO
VMLF.AHU.AHU01.ECM
VMLF.AHU.AHU01.Filter
VMLF.AHU.AHU01.HCO
VMLF.AHU.AHU01.HCV
VMLF.AHU.AHU01.HIGH CUTOUT
VMLF.AHU.AHU01.HISP
VMLF.AHU.AHU01.MAM
VMLF.AHU.AHU01.MAO
VMLF.AHU.AHU01.MAP
VMLF.AHU.AHU01.MAP_SP
VMLF.AHU.AHU01.MAS
VMLF.AHU.AHU01.MINAO
VMLF.AHU.AHU01.Mixed Air Temp
VMLF.AHU.AHU01.Mode
VMLF.AHU.AHU01.OAFMS
VMLF.AHU.AHU01.OAFMS.CFM
VMLF.AHU.AHU01.OAO
VMLF.AHU.AHU01.OAP
VMLF.AHU.AHU01.OCC OVR
VMLF.AHU.AHU01.OCF
VMLF.AHU.AHU01.OCS
VMLF.AHU.AHU01.Outside Air Damper Position
VMLF.AHU.AHU01.Outside Air Humidity
VMLF.AHU.AHU01.Outside Air Temp
VMLF.AHU.AHU01.Outside Air Temp Virtual
VMLF.AHU.AHU01.RAFMS
VMLF.AHU.AHU01.RAO
VMLF.AHU.AHU01.RAT1
VMLF.AHU.AHU01.RCF
VMLF.AHU.AHU01.RCO2
VMLF.AHU.AHU01.RCS
VMLF.AHU.AHU01.REMTP
VMLF.AHU.AHU01.Return Air Damper Position
VMLF.AHU.AHU01.Return Air Temp
VMLF.AHU.AHU01.RF.Speed Command
VMLF.AHU.AHU01.RF.Start Stop
VMLF.AHU.AHU01.RSP
VMLF.AHU.AHU01.Run Status
VMLF.AHU.AHU01.Run Status Sum
VMLF.AHU.AHU01.RVD
VMLF.AHU.AHU01.SAFMS
VMLF.AHU.AHU01.SAT1
VMLF.AHU.AHU01.SCF
VMLF.AHU.AHU01.SF.Speed Command
VMLF.AHU.AHU01.SF.Start Stop
VMLF.AHU.AHU01.SSD
VMLF.AHU.AHU01.Supply Air Temp
VMLF.AHU.AHU01.Supply Air Temp Setpoint
VMLF.AHU.AHU01.Supply Static Pressure
VMLF.AHU.AHU01.Supply Static Pressure Setpoint
VMLF.AHU.AHU01.SVD
VMLF.AHU.AHU01.VRT
VMLF.AHU.AHU01.Zone Air Temp
VMLF.AHU.AHU02.ATS
VMLF.AHU.AHU02.CCO
VMLF.AHU.AHU02.CCV
VMLF.AHU.AHU02.EF2
VMLF.AHU.AHU02.EF2.HOA
VMLF.AHU.AHU02.EF2.ISD
VMLF.AHU.AHU02.EF3
VMLF.AHU.AHU02.EF3.HOA
VMLF.AHU.AHU02.EF3.ISD
VMLF.AHU.AHU02.ENERGY RECOVERED
VMLF.AHU.AHU02.Filter
VMLF.AHU.AHU02.FIRE
VMLF.AHU.AHU02.HCO
VMLF.AHU.AHU02.HCT
VMLF.AHU.AHU02.HCV
VMLF.AHU.AHU02.HIGH CUTOUT
VMLF.AHU.AHU02.ISOD1
VMLF.AHU.AHU02.ISOD2
VMLF.AHU.AHU02.OABD.Proof
VMLF.AHU.AHU02.RAC01.Exhaust Air Temp
VMLF.AHU.AHU02.RAC01.Filter
VMLF.AHU.AHU02.RAC01.HRWR
VMLF.AHU.AHU02.RAC01.HRWS
VMLF.AHU.AHU02.RAC01.LAT
VMLF.AHU.AHU02.RAC02.HRWR
VMLF.AHU.AHU02.RAC02.HRWS
VMLF.AHU.AHU02.RAC03.EF2_3.Exhaust Static Pressure
VMLF.AHU.AHU02.RAC03.EPS
VMLF.AHU.AHU02.RAC03.Exhaust Air Temp
VMLF.AHU.AHU02.RAC03.Filter
VMLF.AHU.AHU02.RAC03.HRWR
VMLF.AHU.AHU02.RAC03.HRWS
VMLF.AHU.AHU02.RAC03.LAT
VMLF.AHU.AHU02.REMTP
VMLF.AHU.AHU02.Run Status
VMLF.AHU.AHU02.Run Status Sum
VMLF.AHU.AHU02.SAF1
VMLF.AHU.AHU02.SAF1.SVD
VMLF.AHU.AHU02.SAF2
VMLF.AHU.AHU02.SAF2.SVD
VMLF.AHU.AHU02.SF.Speed Command
VMLF.AHU.AHU02.SF.Start Stop
