SURGE3.AHU.AHU01.Run Status
SURGE3.AHU.AHU01.Run Status Sum
SURGE3.AHU.AHU03.Run Status
SURGE3.AHU.AHU03.Run Status Sum
SURGE3.AHU.AHU04.Run Status
SURGE3.AHU.AHU04.Run Status Sum
SURGE3.CHLR.ALARM
SURGE3.CHLR.Chilled Water Return Temp
SURGE3.CHLR.Chilled Water Supply Temp
SURGE3.CHLR.CHW.Flow
SURGE3.CHLR.CHW.PUMP.Start Stop
SURGE3.CHLR.CHW.PUMP.STATUS
SURGE3.CHLR.CWP.Start Stop
SURGE3.CHLR.CWP.STATUS
SURGE3.CHLR.CWR
SURGE3.CHLR.CWS
SURGE3.CHLR.Enable
SURGE3.CHLR.SERVICE ENABLE
SURGE3.CHLR.TWRFAN.STATUS
SURGE3.E.HHW.Building Hot Water Return Temp
SURGE3.E.HHW.Building Hot Water Supply Temp
SURGE3.E.HHW.Enable
SURGE3.E.HHW.HWSP
SURGE3.E.HHW.OA ENABLE
SURGE3.E.HHW.OA HIGH
SURGE3.E.HHW.OA LOW
SURGE3.E.HHW.Outside Air Temp
SURGE3.E.HHW.PUMP01.Proof
SURGE3.E.HHW.PUMP01.Start Stop
SURGE3.E.HHW.SP HIGH
SURGE3.E.HHW.SP LOW
SURGE3.E.HHW.STM VLV
SURGE3.E.MAIN.Outside Air Temp
SURGE3.MULTI.CCO
SURGE3.MULTI.CCV
SURGE3.MULTI.CDS
SURGE3.MULTI.CDT
SURGE3.MULTI.CLGCALL
SURGE3.MULTI.CLGLOCK
SURGE3.MULTI.CLGLOCKOUTSP
SURGE3.MULTI.CLGZSP
SURGE3.MULTI.DELAY
SURGE3.MULTI.FREEZE
SURGE3.MULTI.HCO
SURGE3.MULTI.HCV
SURGE3.MULTI.HDS
SURGE3.MULTI.HDT
SURGE3.MULTI.HEATCOOL
SURGE3.MULTI.HTGCALL
SURGE3.MULTI.HTGLOCK
SURGE3.MULTI.HTGLOCKOUTSP
SURGE3.MULTI.HTGZSP
SURGE3.MULTI.Mode
SURGE3.MULTI.Outside Air Temp
SURGE3.MULTI.PRE HD STPT
SURGE3.MULTI.PREH TEMP
SURGE3.MULTI.PREHCO
SURGE3.MULTI.PREHCV
SURGE3.MULTI.Return Air Temp
SURGE3.MULTI.RMT AVG
SURGE3.MULTI.RMT1
SURGE3.MULTI.RMT2
SURGE3.MULTI.RMT3
SURGE3.MULTI.RSP1
SURGE3.MULTI.RSP2
SURGE3.MULTI.RSP3
SURGE3.MULTI.SF.Start Stop
SURGE3.MULTI.VRT1
SURGE3.MULTI.VRT2
SURGE3.MULTI.ZND1
SURGE3.MULTI.ZND1.Supply Air Temp
SURGE3.MULTI.ZND1.Supply Air Temp Setpoint
SURGE3.MULTI.ZND2
SURGE3.MULTI.ZND2.Supply Air Temp
SURGE3.MULTI.ZND2.Supply Air Temp Setpoint
SURGE3.MULTI.ZND3
SURGE3.MULTI.ZND3.Supply Air Temp
SURGE3.MULTI.ZND3.Supply Air Temp Setpoint
SURGE3.MULTI.Zone Air Temp
SURGE3.MULTI.ZSP1
SURGE3.MULTI.ZSP2
SURGE3.MULTI.ZSP3
SURGE3.MULTI.ZSPHI
SURGE3.MULTI.ZSPLOW
