BRIG.AHU.AHU01A.Run Status
BRIG.AHU.AHU01A.Run Status Sum
BRIG.AHU.AHU01B.Run Status
BRIG.AHU.AHU01B.Run Status Sum
BRIG.AHU.AHU02A.Run Status
BRIG.AHU.AHU02A.Run Status Sum
BRIG.AHU.AHU02B.Run Status
BRIG.AHU.AHU02B.Run Status Sum
BRIG.AHU.AHU03A.Run Status
BRIG.AHU.AHU03A.Run Status Sum
BRIG.AHU.AHU03B.Run Status
BRIG.AHU.AHU03B.Run Status Sum
BRIG.AHU.AHU04A.Run Status
BRIG.AHU.AHU04A.Run Status Sum
BRIG.AHU.AHU04B.Run Status
BRIG.AHU.AHU04B.Run Status Sum
BRIG.AHU.AHU05A.Run Status
BRIG.AHU.AHU05A.Run Status Sum
BRIG.AHU.AHU05B.Run Status
BRIG.AHU.AHU05B.Run Status Sum
BRIG.AHU.AHU06A.Run Status
BRIG.AHU.AHU06A.Run Status Sum
BRIG.AHU.AHU06B.Run Status
BRIG.AHU.AHU06B.Run Status Sum
BRIG.AHU.AHU07A.Run Status
BRIG.AHU.AHU07A.Run Status Sum
BRIG.AHU.AHU07B.Run Status
BRIG.AHU.AHU07B.Run Status Sum
BRIG.ALL FANS KW TOTAL
BRIG.ALL HWPS KW TOTAL
BRIG.CHW.BCHW_DIFF_TEMP
BRIG.CHW.Bridge Level Bypass Flow
BRIG.CHW.Building Chilled Water Flow
BRIG.CHW.Building Chilled Water Return Temp
BRIG.CHW.Building Chilled Water Supply Temp
BRIG.CHW.Building Chilled Water Supply Temp Setpoint
BRIG.CHW.ECONOMIZER
BRIG.CHW.Enable
BRIG.CHW.End of Line Diff Pressure
BRIG.CHW.End of Line Diff Pressure Setpoint
BRIG.CHW.LCHW_DIFF_TEMP
BRIG.CHW.Loop Chilled Water Flow
BRIG.CHW.Loop Chilled Water Return Temp
BRIG.CHW.Loop Chilled Water Supply Temp
BRIG.CHW.OA ENABLE
BRIG.CHW.Outside Air Temp
BRIG.CHW.PUMP1.CURRENT
BRIG.CHW.PUMP1.FAULT
BRIG.CHW.PUMP1.FEEDBACK
BRIG.CHW.PUMP1.HOA
BRIG.CHW.PUMP1.Speed
BRIG.CHW.PUMP1.Start Stop
BRIG.CHW.PUMP1:POWER
BRIG.CHW.PUMP2.FAULT
BRIG.CHW.PUMP2.HOA
BRIG.CHW.PUMP2.Speed
BRIG.CHW.PUMP2.Start Stop
BRIG.CHW.PUMP2:CURRENT
BRIG.CHW.PUMP2:POWER
BRIG.EF VFDS KW TOTAL
BRIG.HHW.Building Diff Pressure
BRIG.HHW.Building Hot Water Flow
BRIG.HHW.Building Hot Water FlowSW
BRIG.HHW.Building Hot Water Return Temp
BRIG.HHW.Building Hot Water Supply Temp
BRIG.HHW.Enable
BRIG.HHW.End of Line Diff Pressure
BRIG.HHW.End of Line Diff Pressure Setpoint
BRIG.HHW.HEX
BRIG.HHW.HWDIFF TEMP
BRIG.HHW.HWSP
BRIG.HHW.OA ENABLE
BRIG.HHW.OA HIGH
BRIG.HHW.OA LOW
BRIG.HHW.Outside Air Temp
BRIG.HHW.PUMP1.FAULT
BRIG.HHW.PUMP1.HOA
BRIG.HHW.PUMP1.KW
BRIG.HHW.PUMP1.Proof
BRIG.HHW.PUMP1.Speed
BRIG.HHW.PUMP1.Start Stop
BRIG.HHW.PUMP1:POWER
BRIG.HHW.PUMP2.KW
BRIG.HHW.PUMP2.Proof
BRIG.HHW.PUMP2.Speed
BRIG.HHW.PUMP2.Start Stop
BRIG.HHW.PUMP2:POWER
BRIG.HHW.SP HIGH
BRIG.HHW.SP LOW
BRIG.SF VFDS KW TOTAL
