AMRL.AHU.AHU01.Run Status
AMRL.AHU.AHU01.Run Status Sum
AMRL.AHU.MAU1.CLGON
AMRL.AHU.MAU1.CU1.CLGSTG2
AMRL.AHU.MAU1.CU1.CLGSTG3
AMRL.AHU.MAU1.DOORENABLE
AMRL.AHU.MAU1.EF1:CURRENT
AMRL.AHU.MAU1.EF1:DRIVE KWH
AMRL.AHU.MAU1.EF1:ENA.DIS ACT
AMRL.AHU.MAU1.EF1:FREQ OUTPUT
AMRL.AHU.MAU1.EF1:OK.FAULT
AMRL.AHU.MAU1.EF1:PCT OUTPUT
AMRL.AHU.MAU1.EF1:POWER
AMRL.AHU.MAU1.EF1:SPEED
AMRL.AHU.MAU1.EF2:DAY.NIGHT
AMRL.AHU.MAU1.EF2:DRIVE KWH
AMRL.AHU.MAU1.EF2:ENA.DIS ACT
AMRL.AHU.MAU1.EF2:FREQ OUTPUT
AMRL.AHU.MAU1.EF2:OK.FAULT
AMRL.AHU.MAU1.EF2:PCT OUTPUT
AMRL.AHU.MAU1.EF2:POWER
AMRL.AHU.MAU1.EF2:SPEED
AMRL.AHU.MAU1.EF2:TORQUE
AMRL.AHU.MAU1.FASYS
AMRL.AHU.MAU1.Filter
AMRL.AHU.MAU1.HCO
AMRL.AHU.MAU1.HCV
AMRL.AHU.MAU1.IEC1.CLGSTG1
AMRL.AHU.MAU1.MAXOUT
AMRL.AHU.MAU1.MAXRHC
AMRL.AHU.MAU1.MAXTEMP
AMRL.AHU.MAU1.Outside Air Temp
AMRL.AHU.MAU1.Outside Air Temp Virtual
AMRL.AHU.MAU1.SAERR
AMRL.AHU.MAU1.SF1.Start Stop
AMRL.AHU.MAU1.Supply Air Temp
AMRL.AHU.MAU1.Supply Air Temp Setpoint
AMRL.EF.EF01.FAULT
AMRL.EF.EF01.Speed
AMRL.EF.EF01.Start Stop
AMRL.EF.EF02.FAULT
AMRL.EF.EF02.Speed
AMRL.EF.EF02.Start Stop
AMRL.EF.FASPD
AMRL.EF.HYD1
AMRL.EF.NMLSPD
AMRL.EF.STATUS
AMRL.EF.VF1O
AMRL.EF.VF2O
AMRL.HHW.B1.FAULT
