TUPP.1HENE.FAN SPEED
TUPP.1HENE.Fan.Status
TUPP.1HENW.FAN SPEED
TUPP.1HENW.Fan.Status
TUPP.1HESE.FAN SPEED
TUPP.1HESE.Fan.Status
TUPP.1HESW.FAN SPEED
TUPP.1HESW.Fan.Status
TUPP.1LENE.FAN SPEED
TUPP.1LENE.Fan.Status
TUPP.1LENW.FAN SPEED
TUPP.1LENW.Fan.Status
TUPP.1LESE.FAN SPEED
TUPP.1LESE.Fan.Status
TUPP.1LESW.FAN SPEED
TUPP.1LESW.Fan.Status
TUPP.1NE.CCO
TUPP.1NE.CCV
TUPP.1NE.EHS
TUPP.1NE.EPS
TUPP.1NE.Fan.Status
TUPP.1NE.HCO
TUPP.1NE.HCV
TUPP.1NE.MODE
TUPP.1NE.OCCSSS
TUPP.1NW24.Zone Air Temp
TUPP.1NW24:AUX TEMP
TUPP.1NW24:VLV 1 COMD
TUPP.1NW2:AUX TEMP
TUPP.1NW2:VLV 1 COMD
TUPP.1NW3.Zone Air Temp
TUPP.1NW3:AUX TEMP
TUPP.1NW3:VLV 1 COMD
TUPP.1NW4.Zone Air Temp
TUPP.1NW4:AUX TEMP
TUPP.1NW4:VLV 1 COMD
TUPP.1NW5.Zone Air Temp
TUPP.1NW5:AUX TEMP
TUPP.1NW5:VLV 1 COMD
TUPP.1NW6.Zone Air Temp
TUPP.1NW6:AUX TEMP
TUPP.1NW6:VLV 1 COMD
TUPP.1NW7.Zone Air Temp
TUPP.1NW7:AUX TEMP
TUPP.1NW7:VLV 1 COMD
TUPP.1NW8.Zone Air Temp
TUPP.1NW8:AUX TEMP
TUPP.1NW8:VLV 1 COMD
TUPP.1NW9.Zone Air Temp
TUPP.1NW9:AUX TEMP
TUPP.1NW9:VLV 1 COMD
TUPP.1SE.CCO
TUPP.1SE.CCV
TUPP.1SE.Fan.Status
TUPP.1SE.HCO
TUPP.1SE.HCV
TUPP.1SE.MODE
TUPP.1SE.OCCSSS
TUPP.1SE.Outside Air Temp
TUPP.1SE.SF.Start Stop
TUPP.1SE.Speed
TUPP.1SE.Supply Air Temp
TUPP.1SE.Supply Air Temp Setpoint
TUPP.1SE.Supply Static Pressure
TUPP.1SE.Supply Static Pressure Setpoint
TUPP.1SE1.Zone Air Temp
TUPP.1SE10.Zone Air Temp
TUPP.1SE10:AUX TEMP
TUPP.1SE10:VLV 1 COMD
TUPP.1SE11.Zone Air Temp
TUPP.1SE11:AUX TEMP
TUPP.1SE11:VLV 1 COMD
TUPP.1SE12.Zone Air Temp
TUPP.1SE12:AUX TEMP
TUPP.1SE12:VLV 1 COMD
TUPP.1SE13.Zone Air Temp
TUPP.1SE13:AUX TEMP
TUPP.1SE13:VLV 1 COMD
TUPP.1SE14.Zone Air Temp
TUPP.1SE14:AUX TEMP
TUPP.1SE14:VLV 1 COMD
TUPP.1SE15.Zone Air Temp
TUPP.1SE15:AUX TEMP
TUPP.1SE15:VLV 1 COMD
TUPP.1SE16.Zone Air Temp
TUPP.1SE16:AUX TEMP
TUPP.1SE16:VLV 1 COMD
TUPP.1SE17.Zone Air Temp
TUPP.1SE17:AUX TEMP
TUPP.1SE17:VLV 1 COMD
TUPP.1SE18.Zone Air Temp
TUPP.1SE18:AUX TEMP
TUPP.1SE18:VLV 1 COMD
TUPP.1SE19.Zone Air Temp
TUPP.1SE19:AUX TEMP
TUPP.1SE19:VLV 1 COMD
TUPP.1SE1:AUX TEMP
TUPP.1SE1:VLV 1 COMD
TUPP.1SE2.Zone Air Temp
TUPP.1SE20.Zone Air Temp
TUPP.1SE20:AUX TEMP
TUPP.1SE20:VLV 1 COMD
TUPP.1SE21.Zone Air Temp
TUPP.1SE21:AUX TEMP
TUPP.1SE21:VLV 1 COMD
TUPP.1SE2:AUX TEMP
TUPP.1SE2:VLV 1 COMD
TUPP.1SE3.Zone Air Temp
TUPP.1SE3:AUX TEMP
TUPP.1SE3:VLV 1 COMD
TUPP.1SE4.Zone Air Temp
TUPP.1SE4:AUX TEMP
TUPP.1SE4:VLV 1 COMD
TUPP.1SE5.Zone Air Temp
TUPP.1SE5:AUX TEMP
TUPP.1SE5:VLV 1 COMD
TUPP.1SE6.Zone Air Temp
TUPP.1SE6:AUX TEMP
TUPP.1SE6:VLV 1 COMD
TUPP.1SE7.Zone Air Temp
TUPP.1SE7:AUX TEMP
TUPP.1SE7:VLV 1 COMD
TUPP.1SE8.Zone Air Temp
TUPP.1SE8:AUX TEMP
TUPP.1SE8:VLV 1 COMD
TUPP.1SE9.Zone Air Temp
TUPP.1SE9:AUX TEMP
TUPP.1SE9:VLV 1 COMD
TUPP.1SW.CCO
TUPP.1SW.CCV
TUPP.1SW.Fan.Status
TUPP.1SW.HCO
TUPP.1SW.HCV
TUPP.1SW.MODE
TUPP.1SW.OCCSSS
TUPP.1SW.Outside Air Temp
TUPP.1SW.SF.Start Stop
TUPP.1SW.Speed
TUPP.1SW.Supply Air Temp
TUPP.1SW.Supply Air Temp Setpoint
TUPP.1SW.Supply Static Pressure
TUPP.1SW.Supply Static Pressure Setpoint
TUPP.1SW1.Zone Air Temp
TUPP.1SW10.Zone Air Temp
TUPP.1SW10:AUX TEMP
TUPP.1SW10:VLV 1 COMD
TUPP.1SW11.Zone Air Temp
TUPP.1SW11:AUX TEMP
TUPP.1SW11:VLV 1 COMD
TUPP.1SW12.Zone Air Temp
TUPP.1SW12:AUX TEMP
TUPP.1SW12:VLV 1 COMD
TUPP.1SW13.Zone Air Temp
TUPP.1SW13:AUX TEMP
TUPP.1SW13:VLV 1 COMD
TUPP.1SW14.Zone Air Temp
TUPP.1SW14:AUX TEMP
TUPP.1SW14:VLV 1 COMD
TUPP.1SW15.Zone Air Temp
TUPP.1SW15:AUX TEMP
TUPP.1SW15:VLV 1 COMD
TUPP.1SW16.Zone Air Temp
TUPP.1SW16:AUX TEMP
TUPP.1SW16:VLV 1 COMD
