ARTX.AHU.AHU01.AVGRMT
ARTX.AHU.AHU01.Building Static Pressure
ARTX.AHU.AHU01.CCO
ARTX.AHU.AHU01.CCV
ARTX.AHU.AHU01.DPSETPT
ARTX.AHU.AHU01.EF.Speed
ARTX.AHU.AHU01.EF.Start Stop
ARTX.AHU.AHU01.Filter
ARTX.AHU.AHU01.HWSYSEN
ARTX.AHU.AHU01.MAXVAVDMP
ARTX.AHU.AHU01.MAXZONE
ARTX.AHU.AHU01.Mixed Air Damper Position
ARTX.AHU.AHU01.Mixed Air Temp
ARTX.AHU.AHU01.OVERRIDE
ARTX.AHU.AHU01.Return Air Temp
ARTX.AHU.AHU01.Run Status
ARTX.AHU.AHU01.Run Status Sum
ARTX.AHU.AHU01.SARESET
ARTX.AHU.AHU01.SF.Speed
ARTX.AHU.AHU01.SF.Start Stop
ARTX.AHU.AHU01.Supply Air Temp
ARTX.AHU.AHU01.Supply Air Temp Setpoint
ARTX.AHU.AHU01.Supply Static Pressure
ARTX.AHU.AHU01.Supply Static Pressure Setpoint
ARTX.AHU.AHU02.AVGRMT
ARTX.AHU.AHU02.Building Static Pressure
ARTX.AHU.AHU02.CCO
ARTX.AHU.AHU02.CCV
ARTX.AHU.AHU02.EF.Speed
ARTX.AHU.AHU02.EF.Start Stop
ARTX.AHU.AHU02.HWSYSEN
ARTX.AHU.AHU02.MAO
ARTX.AHU.AHU02.MAXHWV
ARTX.AHU.AHU02.MAXTEMP
ARTX.AHU.AHU02.MAXVALVE
ARTX.AHU.AHU02.MAXVAVDMP
ARTX.AHU.AHU02.MAXZONE
ARTX.AHU.AHU02.MINHWV
ARTX.AHU.AHU02.MINVAVDMP
ARTX.AHU.AHU02.MINZONE
ARTX.AHU.AHU02.Mixed Air Damper Position
ARTX.AHU.AHU02.Mixed Air Temp
ARTX.AHU.AHU02.Outside Air Temp
ARTX.AHU.AHU02.OVERRIDE
ARTX.AHU.AHU02.Return Air Temp
ARTX.AHU.AHU02.Run Status
ARTX.AHU.AHU02.Run Status Sum
ARTX.AHU.AHU02.SF.Speed
ARTX.AHU.AHU02.SF.Start Stop
ARTX.AHU.AHU02.Supply Air Temp
ARTX.AHU.AHU02.Supply Air Temp Setpoint
ARTX.AHU.AHU02.Supply Static Pressure
ARTX.AHU.AHU02.Supply Static Pressure Setpoint
ARTX.AHU.AHU02.ZONE:MODE
ARTX.AHU1.EF.SPEED
ARTX.AHU1.SF.SPEED
ARTX.AHU2.EF.SPEED
ARTX.AHU2.SF.SPEED
ARTX.CHW.BRIDGE
ARTX.CHW.BRIDGEPOS
ARTX.CHW.Building Chilled Water Return Temp
ARTX.CHW.Building Chilled Water Supply Temp
ARTX.CHW.CHWSTG1
ARTX.CHW.CHWSTG2
ARTX.CHW.ECONOMIZER
ARTX.CHW.ECONOMIZERPOS
ARTX.CHW.End of Line Diff Pressure
ARTX.CHW.LCHW_DIFF_TEMP
ARTX.CHW.Loop Chilled Water Flow
ARTX.CHW.Loop Chilled Water Return Temp
ARTX.CHW.Loop Chilled Water Supply Temp
ARTX.CHW.PUMP1.Start Stop
ARTX.CHW.SETPT
ARTX.CHW.VLVENAB
ARTX.EF.EF01.EF.Start Stop
ARTX.FREEZE
ARTX.HHW.Building Hot Water FlowSW
ARTX.HHW.Building Hot Water Return Temp
ARTX.HHW.Building Hot Water Supply Temp
ARTX.HHW.CLS
ARTX.HHW.Enable
ARTX.HHW.HEX
ARTX.HHW.PUMP1.Start Stop
ARTX.Outside Air Temp
ARTX.ZONE.AHU01.RM107A.Day Night
ARTX.ZONE.AHU01.RM107A.Heat Cool
ARTX.ZONE.AHU01.RM107A.Zone Air Temp
ARTX.ZONE.AHU01.RM107A.Zone Supply Air Flow
ARTX.ZONE.AHU01.RM107A:AUX TEMP
ARTX.ZONE.AHU01.RM107A:CTL STPT
ARTX.ZONE.AHU01.RM107A:CTL TEMP
ARTX.ZONE.AHU01.RM107A:DI OVRD SW
ARTX.ZONE.AHU01.RM107A:DMPR COMD
ARTX.ZONE.AHU01.RM107A:DMPR POS
ARTX.ZONE.AHU01.RM107A:FLOW
ARTX.ZONE.AHU01.RM107A:VLV1 COMD
