BIXB.AHU.AHU01.CCO
BIXB.AHU.AHU01.CCV
BIXB.AHU.AHU01.CLGOSAHIGH
BIXB.AHU.AHU01.CLGOSALOW
BIXB.AHU.AHU01.CLGSAHIGH
BIXB.AHU.AHU01.CLGSALOW
BIXB.AHU.AHU01.EAD
BIXB.AHU.AHU01.ECONO
BIXB.AHU.AHU01.ECONOMODEZNHITEMP
BIXB.AHU.AHU01.FREEZE
BIXB.AHU.AHU01.HCO
BIXB.AHU.AHU01.HCV
BIXB.AHU.AHU01.HTGOSAHIGH
BIXB.AHU.AHU01.HTGOSALOW
BIXB.AHU.AHU01.HTGSAHIGH
BIXB.AHU.AHU01.HTGSALOW
BIXB.AHU.AHU01.MAXZONE
BIXB.AHU.AHU01.MINPOS
BIXB.AHU.AHU01.MINZONE
BIXB.AHU.AHU01.Mixed Air Temp
BIXB.AHU.AHU01.NLL.TEMP
BIXB.AHU.AHU01.Outside Air Temp
BIXB.AHU.AHU01.RAF.HOA
BIXB.AHU.AHU01.RF.Start Stop
BIXB.AHU.AHU01.Run Status
BIXB.AHU.AHU01.Run Status Sum
BIXB.AHU.AHU01.SACLGLOOP
BIXB.AHU.AHU01.SACLGSETPOINT
BIXB.AHU.AHU01.SAF.HOA
BIXB.AHU.AHU01.SAHTGLOOP
BIXB.AHU.AHU01.SAHTGSETPOINT
BIXB.AHU.AHU01.SF.Start Stop
BIXB.AHU.AHU01.SSD
BIXB.AHU.AHU01.Supply Air Temp
BIXB.AHU.AHU01.UNOCCHILIMITTEMP
BIXB.CHW.1STRETCOUNTER
BIXB.CHW.1STRETURNCNTR
BIXB.CHW.BLGDPQ
BIXB.CHW.BLGDPSP
BIXB.CHW.BRIDGE
BIXB.CHW.BRIDGECALC
BIXB.CHW.BRIDGELOWRETCALC
BIXB.CHW.BRIDGEPOS
BIXB.CHW.CHVLOOP
BIXB.CHW.CHWSSETPOINT
BIXB.CHW.DP1STAGELOW
BIXB.CHW.ECONOMIZER
BIXB.CHW.ECONOMIZERPOS
BIXB.CHW.ECONOMODEOSATEMP
BIXB.CHW.ECONOSIG
BIXB.CHW.LCHWRP
BIXB.CHW.LCHWSP
BIXB.CHW.Loop Chilled Water Diff Pressure
BIXB.CHW.Loop Chilled Water Flow
BIXB.CHW.Loop Chilled Water Return Temp
BIXB.CHW.Loop Chilled Water Supply Temp
BIXB.CHW.Outside Air Temp
BIXB.CHW.PUMP.HOA
BIXB.CHW.PUMP.Speed
BIXB.CHW.PUMP.Start Stop
BIXB.CHW.PUMPBYPASS
BIXB.CHW.VFDO
BIXB.H2O.BUILDDPAVG
BIXB.H2O.Building Diff Pressure
BIXB.H2O.Building Flow
BIXB.H2O.Mode
BIXB.H2O.RETURN
BIXB.H2O.SUPPLY
BIXB.HHW.BLDGDPCALC
BIXB.HHW.BLDGDPSP
BIXB.HHW.BLGDPSP
BIXB.HHW.BLGDPSP1
BIXB.HHW.ISOVLV
BIXB.HHW.MODVLV
BIXB.HHW.MODVLVPOS
BIXB.MAU02.ALARM
BIXB.MAU02.CCV
BIXB.MAU02.CVO
BIXB.MAU02.FILTER
BIXB.MAU02.HOA
BIXB.MAU02.HSP
BIXB.MAU02.LOWLIMIT
BIXB.MAU02.LTD
BIXB.MAU02.OCC
BIXB.MAU02.Outside Air Temp
BIXB.MAU02.RMSTPT
BIXB.MAU02.SAFETYRESET
BIXB.MAU02.SAS MAX
BIXB.MAU02.SAS MIN
BIXB.MAU02.SATO
BIXB.MAU02.Start Stop
BIXB.MAU02.Supply Air Temp
BIXB.MAU02.Supply Air Temp Setpoint
BIXB.MAU02.Supply Air Temp.COLD
BIXB.MAU02.Supply Air Temp.VERYCOLD
BIXB.MAU02.Zone Air Temp
BIXB.MEC1.POWERLOSSES
BIXB.MEC2.POWERLOSSES
BIXB.Outside Air Temp
BIXB.PXCM01.PWRLS
BIXB.ZONE1.HTGSETPOINT
BIXB.ZONE1.TEMP
BIXB.ZONE1.VALVE
BIXB.ZONE12.ECONOSIG
BIXB.ZONE12.MINPOS
BIXB.ZONE12.Mixed Air Damper Position
BIXB.ZONE12.Outside Air Temp
BIXB.ZONE12.RSP
BIXB.ZONE12.SETPOINT
BIXB.ZONE12.SETPOINT HIGH
BIXB.ZONE12.SETPOINT LOW
BIXB.ZONE12.Supply Air Temp
BIXB.ZONE12.TEMP
BIXB.ZONE12.VALVE
BIXB.ZONE2.HTGSETPOINT
BIXB.ZONE2.TEMP
BIXB.ZONE2.VALVE
BIXB.ZONE3.HTGSETPOINT
BIXB.ZONE3.TEMP
BIXB.ZONE3.VALVE
BIXB.ZONE4.HTGSETPOINT
BIXB.ZONE4.TEMP
BIXB.ZONE4.VALVE
BIXB.ZONE5.HTGSETPOINT
BIXB.ZONE5.TEMP
BIXB.ZONE5.VALVE
BIXB.ZONE6.HTGSETPOINT
BIXB.ZONE6.TEMP
BIXB.ZONE6.VALVE
BIXB.ZONE9.HTGSETPOINT
BIXB.ZONE9.TEMP
BIXB.ZONE9.VALVE
