CURR.BATH151.EAD
CURR.BATH151.HUM
CURR.BATH151.OCC
CURR.BATH152.EAD
CURR.BATH152.HUM
CURR.BATH152.OCC
CURR.BATH154.EAD
CURR.BATH154.HUM
CURR.BATH154.OCC
CURR.BATH155.EAD
CURR.BATH155.HUM
CURR.BATH155.OCC
CURR.BATH251.EAD
CURR.BATH251.HUM
CURR.BATH251.OCC
CURR.BATH252.EAD
CURR.BATH252.HUM
CURR.BATH252.OCC
CURR.BATH253.EAD
CURR.BATH253.HUM
CURR.BATH253.OCC
CURR.BATH254.EAD
CURR.BATH254.HUM
CURR.BATH254.OCC
CURR.BATH255.EAD
CURR.BATH255.HUM
CURR.BATH255.OCC
CURR.BATH351.EAD
CURR.BATH351.HUM
CURR.BATH351.OCC
CURR.BATH352.EAD
CURR.BATH352.HUM
CURR.BATH352.OCC
CURR.BATH353.EAD
CURR.BATH353.HUM
CURR.BATH353.OCC
CURR.BATH354.EAD
CURR.BATH354.HUM
CURR.BATH354.OCC
CURR.BATH355.EAD
CURR.BATH355.HUM
CURR.BATH355.OCC
CURR.BATH451.EAD
CURR.BATH451.HUM
CURR.BATH451.OCC
CURR.BATH452.EAD
CURR.BATH452.HUM
CURR.BATH452.OCC
CURR.BATH453.EAD
CURR.BATH453.HUM
CURR.BATH453.OCC
CURR.BATH454.EAD
CURR.BATH454.HUM
CURR.BATH454.OCC
CURR.BATH455.EAD
CURR.BATH455.HUM
CURR.BATH455.OCC
CURR.BLDG.OCCUPANCY
CURR.BLDGSTATICDP
CURR.CHW.BLDGDPOUT
CURR.CHW.BLDGVALVE
CURR.CHW.Building Chilled Water Return Temp
CURR.CHW.Building Chilled Water Supply Temp
CURR.CHW.Building Diff Pressure
CURR.CHW.Building Diff Pressure Setpoint
CURR.DHW.TEMP
CURR.FCU183.Heat Cool
CURR.FCU183.Zone Air Temp
CURR.FCU183:CTL STPT
CURR.FCU183:CTL TEMP
CURR.FCU183:FAN
CURR.FCU183:VLV 1 COMD
CURR.FCU183:VLV 1 POS
CURR.FCU185.Heat Cool
CURR.FCU185.Zone Air Temp
CURR.FCU185:CTL STPT
CURR.FCU185:CTL TEMP
CURR.FCU185:FAN
CURR.FCU185:VLV 1 COMD
CURR.FCU185:VLV 1 POS
CURR.FCU188.Heat Cool
CURR.FCU188.Zone Air Temp
CURR.FCU188:CTL STPT
CURR.FCU188:CTL TEMP
