SPRL.1ST STAGE
SPRL.1STCLG
SPRL.2ND STAGE
SPRL.2NDCLG
SPRL.2P.Outside Air Temp Virtual
SPRL.AHU.AC03_AC04.Start Stop
SPRL.BCHWRTSP
SPRL.BCHWSTSP
SPRL.BLDG.CHWRP
SPRL.BLDG.CHWRT
SPRL.BLDG.CHWST
SPRL.BLDG.DP
SPRL.BRIDGE.VLV
SPRL.CHW.BRIDGE
SPRL.CHW.BTONS
SPRL.CHW.Building Chilled Water Flow
SPRL.CHW.Building Chilled Water Return Temp
SPRL.CHW.Building Chilled Water Supply Temp
SPRL.CHW.Call 4 COOL
SPRL.CHW.ECONOMIZER
SPRL.CHW.LTONS
SPRL.ECNM.VLV
SPRL.EXH FAN1.Start Stop
SPRL.EXH FAN2.Start Stop
SPRL.FANCOIL1_9.Start Stop
SPRL.HHW.Enable
SPRL.HHW.HHWR
SPRL.HHW.HHWS
SPRL.HHW.HWSP
SPRL.HP.BLDG RET TEMP
SPRL.HP.BLDG SUP TEMP
SPRL.HP.CHANGEOVER
SPRL.HP.ENABLE
SPRL.HP.OA DEW POINT
SPRL.HP.Outside Air Humidity
SPRL.HP.Outside Air Temp
SPRL.HP.PUMP1.Start Stop
SPRL.HP.PUMP2.Start Stop
SPRL.HP.RAD RET TEMP
SPRL.HP.RAD SUP TEMP
SPRL.HP.RAD VALVE
SPRL.HP.RET TEMP
SPRL.HP.SUP TEMP
SPRL.HP.TANK BYP  VALVE
SPRL.HP.TANK TEMP
SPRL.LOOP.CHWRT
SPRL.LOOP.CHWST
SPRL.LOOP.DP
SPRL.LOOP.FLOW
SPRL.MAIN.CHWRP
SPRL.MAIN.CHWSP
SPRL.MAIN.DP
SPRL.NO.CHANGEOVER
SPRL.NO.CHHW.PUMP.Start Stop
SPRL.NO.CHW.XOVR
SPRL.NO.CLG.Enable
SPRL.NO.HHW.XOVR
SPRL.NO.HTG.Enable
SPRL.Outside Air Temp
SPRL.PUMPP
SPRL.RM803.RM DEW POINT
SPRL.RM803.Zone Air Temp
SPRL.RM803:COOL DMD
SPRL.RM803:COOL SP LIM
SPRL.RM803:EFF OCC
SPRL.RM803:HEAT DMD
SPRL.RM803:HEAT SP LIM
SPRL.RM803:KEYPAD LOC
SPRL.RM803:OCC COMD
