Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L4,MWN 2027,Mus musculus,male,a,139+,56+,16,12,18,,49,39,++,,MWN,
L5,MWN 2028,Mus musculus,female,a,166+,74+,18,13,24,"5R 0L, 3 mm",,,,,MWN,
L4,MWN 2029,Mus musculus,male,a,146+,62+,17,12,20,,45,41,++,,MWN,
L5,MWN 2030,Mus musculus,female,a,135+,45+,17,12,23,PAR,,,,,MWN,
L4,MWN 2031,Mus musculus,male,a,134+,55+,17,13,16,,43,21,,,MWN,
L5,MWN 2032,Mus musculus,female,a,152+,59+,18,13,23,PAR,,,,,MWN,
L5,MWN 2033,Mus musculus,male,a,128+,45+,18,13,20,,74,42,,light belly,MWN,
L5,MWN 2034,Mus musculus,female,a,152+,63+,17,13,20,"2R 0L, 4 mm",,,,,MWN,
L5,MWN 2035,Mus musculus,male,a,142+,60+,18,13,19,,78,39,,,MWN,
L5,MWN 2036,Mus musculus,female,a,145+,57+,17,13,20,PAR,,,,,MWN,
L5,MWN 2037,Mus musculus,male,a,148+,59+,18,12,22,,52,62,++,,MWN,
L5,MWN 2038,Mus musculus,female,a,145+,61+,17,12,16,"1R 4L, 5 mm",,,,,MWN,
L5,MWN 2039,Mus musculus,male,a,150+,65+,18,13,19,,73,28,,,MWN,
L5,MWN 2040,Mus musculus,female,a,142+,51+,17,13,21,"0R 2L, 12 mm",,,,,MWN,
L5,MWN 2041,Mus musculus,male,a,130+,35+,18,13,25,,60,79,,,MWN,
L5,MWN 2042,Mus musculus,male,a,140+,53+,18,12,20,,82,57,,,MWN,
L5,MWN 2043,Mus musculus,male,a,140+,56+,18,12,20,,73,40,,,MWN,
L5,MWN 2044,Mus musculus,female,a,155+,72+,17,13,20,PAR,,,,,MWN,
L5,MWN 2045,Mus musculus,male,a,157+,71+,17,13,22,,89,53,,,MWN,
L5,MWN 2046,Mus musculus,male,a,139+,57+,17,12,18,,64,33,,,MWN,
L5,MWN 2047,Mus musculus,male,a,140+,58+,17,13,18,,26,48,,,MWN,
L5,MWN 2048,Mus musculus,female,a,112+,32+,18,13,15,"2R 0L, 1 mm",,,,,MWN,
L5,MWN 2049,Mus musculus,male,a,133+,53+,18,12,15,,66,14,,,MWN,
L5,MWN 2050,Mus musculus,female,a,133+,46+,18,13,25,"1R 1L, 23 mm",,,,,MWN,
L5,MWN 2051,Mus musculus,male,a,153+,60+,18,12,24,,84,44,,,DNM,
L5,MWN 2052,Mus musculus,female,a,145+,60+,17,13,18,PAR,,,,light belly,MWN,
L5,MWN 2053,Mus musculus,male,a,114+,35+,17,12,16,,59,27,,light belly,DNM,
L5,MWN 2054,Mus musculus,female,a,123+,41+,17,12,19,PAR,,,,,MWN,
L5,MWN 2055,Mus musculus,male,a,150+,66+,17,13,19,,70,35,,,DNM,
L5,MWN 2056,Mus musculus,female,a,160+,74+,18,13,26,"2R 2L, 17 mm",,,,,DNM,
L5,MWN 2057,Mus musculus,male,a,126+,43+,18,12,21,,77,25,,,DNM,
L5,MWN 2058,Mus musculus,female,a,173,81,18,12,24,"2R 4L, 4 mm",,,,,DNM,
L5,MWN 2059,Mus musculus,male,a,135+,50+,17,13,21,,78,68,,,DNM,
L5,MWN 2060,Mus musculus,female,a,145+,62+,17,12,21,"3R 2L, 9 mm",,,,,DNM,
L5,MWN 2061,Mus musculus,male,a,116+,41+,17,12,16,,59,23,,,DNM,
L5,MWN 2062,Mus musculus,female,a,159+,68+,17,13,26,"0R 2L, 20 mm",,,,,DNM,
L5,MWN 2063,Mus musculus,male,a,140+,54+,16,12,20,,45,37,+,,DNM,
L5,MWN 2064,Mus musculus,female,a,138+,53+,17,13,21,"3R 0L, 10 mm",,,,,DNM,
L5,MWN 2065,Mus musculus,male,a,132+,53+,17,11,15,,55,14,,,DNM,
L5,MWN 2066,Mus musculus,female,a,142+,55+,17,12,21,"0R 1L, 11 mm",,,,opaque uterus,DNM,
L5,MWN 2067,Mus musculus,male,a,139+,57+,17,12,16,,78,31,,,DNM,
L5,MWN 2068,Mus musculus,female,a,147+,63+,17,13,20,"5R 1L, 2 mm",,,,reabsorbed embryos?,DNM,
L5,MWN 2069,Mus musculus,male,a,135+,45+,18,12,21,,77,70,+,,DNM,
L5,MWN 2070,Mus musculus,female,a,147+,58+,18,12,20,"1R 2L, 3 mm",,,,reabsorbed embryos?,DNM,
L5,MWN 2071,Mus musculus,male,a,123+,47+,16,12,16,,87,22,+,,DNM,
L5,MWN 2072,Mus musculus,female,a,124+,42+,17,12,17,PAR,,,,,DNM,
L5,MWN 2073,Mus musculus,male,sa,133+,62+,18,12,14,,64,16,,,DNM,
L5,MWN 2074,Mus musculus,female,a,158+,71+,19,13,29,"2R 3L, 20 mm",,,,,DNM,
L5,MWN 2075,Mus musculus,male,a,120+,44+,16,11,16,,65,9,,,DNM,
L5,MWN 2076,Mus musculus,female,a,134+,61+,17,12,17,PAR,,,,,DNM,
L5,MWN 2077,Mus musculus,male,a,156+,70+,18,12,21,,58,52,,,DNM,
L5,MWN 2078,Mus musculus,female,a,140+,52+,17,13,20,PAR,,,,,DNM,
L5,MWN 2079,Mus musculus,male,a,137+,59+,17,11,18,,68,47,,white spot on belly,DNM,
L5,MWN 2080,Mus musculus,female,a,144+,57+,18,13,19,PAR,,,,,DNM,
L5,MWN 2081,Mus musculus,male,a,147+,66+,18,12,19,,75,19,,,DNM,
L5,MWN 2082,Mus musculus,female,a,137+,58+,16,11,17,"2R 1L, 17 mm",,,,,DNM,
L5,MWN 2083,Mus musculus,male,a,128+,47+,17,12,16,,73,33,,,DNM,
L5,MWN 2084,Mus musculus,female,a,130+,44+,17,12,17,PAR,,,,,DNM,
L5,MWN 2085,Mus musculus,male,a,135+,54+,18,13,17,,67,32,,,DNM,
L5,MWN 2086,Mus musculus,female,a,127+,47+,18,13,18,PAR,,,,,DNM,
L5,MWN 2087,Mus musculus,male,a,156,75,18,13,17,,48,39,,light belly,DNM,
L5,MWN 2088,Mus musculus,female,a,130+,40+,16,11,29,"3R 3L, 20 mm",,,,light belly,DNM,
L5,MWN 2089,Mus musculus,male,a,118+,42+,17,12,15,,70,38,,,DNM,
L5,MWN 2090,Mus musculus,female,a,155+,66+,18,12,20,PAR,,,,,DNM,
L5,MWN 2091,Mus musculus,male,a,119+,41+,17,12,14,,50,11,,,DNM,
L5,MWN 2092,Mus musculus,female,a,135+,53+,17,12,17,"2R 1L, 6 mm",,,,,DNM,
L5,MWN 2093,Mus musculus,male,a,153,79,18,13,18,,73,24,,,DNM,
L5,MWN 2094,Mus musculus,female,a,151+,60+,17,12,30,"2R 5L, 12 mm",,,,,DNM,
L5,MWN 2095,Mus musculus,male,a,141+,59+,18,13,20,,55,27,,,DNM,
L5,MWN 2096,Mus musculus,female,a,135+,50+,18,13,24,"1R 5L, 7 mm",,,,,DNM,
L5,MWN 2097,Mus musculus,male,a,139+,62+,18,12,17,,55,21,,,DNM,
L5,MWN 2098,Mus musculus,female,a,142+,65+,17,11,20,"2R 4L, 9 mm",,,,,DNM,
L5,MWN 2099,Mus musculus,male,a,138+,60+,18,11,21,,64,48,,white spot on belly,DNM,
L5,MWN 2100,Mus musculus,female,a,135+,55+,17,12,16,PAR,,,,,DNM,
L6,MWN 2101,Mus musculus,male,a,144+,58+,18,13,19,,91,46,,,MWN,
L5,MWN 2102,Mus musculus,female,a,149+,72+,17,12,18,"0R 6L, 6 mm",,,,,DNM,
L6,MWN 2103,Mus musculus,male,a,138+,53+,17,13,17,,72,49,,,MWN,
L5,MWN 2104,Mus musculus,female,a,141+,58+,18,13,22,PAR,,,,,DNM,
L6,MWN 2105,Mus musculus,male,a,130+,55+,17,13,17,,66,24,+,,MWN,
L5,MWN 2106,Mus musculus,female,a,130+,49+,18,13,16,PAR,,,,,DNM,
L6,MWN 2107,Mus musculus,male,a,128+,59+,17,13,17,,64,17,+,,MWN,
L5,MWN 2108,Mus musculus,female,a,144+,59+,17,12,26,"2R 5L, 18 mm",,,,light belly,DNM,
L6,MWN 2110,Mus musculus,female,a,146+,51+,17,13,32,"2R 5L, 15 mm",,,,,MWN,
L6,MWN 2111,Mus musculus,male,a,154+,67+,18,13,18,,66,14,,,MWN,
L6,MWN 2112,Mus musculus,female,a,150+,67+,17,12,28,"4R 2L, 20 mm",,,,,MWN,
L6,MWN 2113,Mus musculus,male,a,161+,72+,18,13,20,,70,63,,,MWN,
L6,MWN 2114,Mus musculus,female,a,152+,66+,17,13,17,PAR,,,,,MWN,
L6,MWN 2115,Mus musculus,male,a,150+,66+,18,12,18,,88,52,+++,,MWN,
L6,MWN 2116,Mus musculus,female,a,127+,40+,17,13,19,PAR,,,,,MWN,
L6,MWN 2117,Mus musculus,male,a,146+,63+,18,13,16,,58,77,+,,MWN,
L6,MWN 2118,Mus musculus,female,a,125+,37+,17,12,19,PAR,,,,,MWN,
L6,MWN 2119,Mus musculus,male,a,152+,70+,18,13,18,,42,30,,,MWN,
L6,MWN 2120,Mus musculus,female,a,144+,46+,17,13,27,"3R 6L, 4 mm",,,,,MWN,
L6,MWN 2121,Mus musculus,male,a,141+,59+,18,13,16,,79,21,,,MWN,
L6,MWN 2122,Mus musculus,female,a,143+,57+,17,13,18,PAR,,,,,MWN,
L6,MWN 2123,Mus musculus,male,a,143+,60+,18,13,18,,71,58,,,MWN,
L6,MWN 2124,Mus musculus,female,a,154+,57+,17,13,34,"5R 4L, 18 mm",,,,,MWN,
L6,MWN 2125,Mus musculus,male,a,141+,66+,18,13,14,,76,22,,,MWN,
L6,MWN 2126,Mus musculus,female,a,128+,38+,17,12,27,"5R 2L, 15 mm",,,,,MWN,
L6,MWN 2127,Mus musculus,male,a,149+,61+,17,12,20,,44,78,+++,,MWN,
L6,MWN 2128,Mus musculus,female,a,141+,52+,18,13,24,"6R 2L, 8 mm",,,,,MWN,
L6,MWN 2129,Mus musculus,male,a,159+,70+,17,12,19,,86,67,+,,MWN,
L6,MWN 2130,Mus musculus,female,a,171+,74+,18,12,24,PAR,,,,,MWN,
L6,MWN 2131,Mus musculus,male,a,141+,56+,17,13,19,,74,69,+,light belly,MWN,
L6,MWN 2132,Mus musculus,female,a,130+,47+,18,12,15,"1R 2L, 7 mm",,,,,MWN,
L6,MWN 2133,Mus musculus,male,a,125+,34+,17,13,21,,74,46,+,,MWN,
L6,MWN 2134,Mus musculus,female,a,133+,50+,17,13,18,PAR,,,,,MWN,
L6,MWN 2135,Mus musculus,male,a,139+,56+,18,12,17,,65,60,+,,MWN,
L6,MWN 2136,Mus musculus,female,a,130+,44+,17,13,21,"3R 0L, 7 mm",,,,,MWN,
L6,MWN 2137,Mus musculus,male,a,125+,53+,17,13,15,,72,60,,,MWN,
L6,MWN 2138,Mus musculus,female,a,168+,74+,18,13,22,"5R 2L, 3 mm",,,,,MWN,
L6,MWN 2139,Mus musculus,male,a,140+,58+,18,13,16,,39,32,,,MWN,
L6,MWN 2140,Mus musculus,female,a,137+,51+,17,12,16,NULL,,,,,MWN,
L6,MWN 2141,Mus musculus,male,a,134+,56+,18,13,15,,50,39,++,no right testes,MWN,
L6,MWN 2142,Mus musculus,female,sa,127+,48+,17,13,12,NULL,,,,,MWN,
L6,MWN 2143,Mus musculus,male,a,140+,54+,17,12,17,,53,34,++,,DNM,
L6,MWN 2144,Mus musculus,female,a,135+,55+,18,13,13,NULL,,,,,MWN,
L6,MWN 2145,Mus musculus,male,a,139+,55+,19,13,17,,59,13,,,DNM,
L6,MWN 2146,Mus musculus,female,a,146+,59+,18,13,30,"2R 4L, 17 mm",,,,,MWN,
L6,MWN 2147,Mus musculus,male,a,123+,48+,17,13,16,,66,24,,light belly,DNM,
L6,MWN 2148,Mus musculus,female,a,130+,38+,18,13,23,"2R 0L, 12 mm",,,,,MWN,
L6,MWN 2149,Mus musculus,male,a,123+,43+,17,13,16,,62,29,+,,DNM,
L6,MWN 2150,Mus musculus,female,a,135+,45+,18,13,23,PAR,,,,white patch on belly,MWN,
L6,MWN 2151,Mus musculus,male,a,123+,44+,18,12,19,,83,15,,,DNM,
L6,MWN 2152,Mus musculus,female,a,149+,61+,18,13,20,PAR,,,,light belly,DNM,
L6,MWN 2153,Mus musculus,male,a,135+,51+,17,12,18,,56,44,,,DNM,
L6,MWN 2154,Mus musculus,female,a,134+,43+,17,13,25,"0R 2L, 22 mm",,,,,DNM,
L6,MWN 2155,Mus musculus,male,a,135+,44+,17,12,18,,60,46,+,,DNM,
L6,MWN 2156,Mus musculus,female,a,151+,60+,18,13,35,"4R 5L, 20 mm",,,,,DNM,
L6,MWN 2157,Mus musculus,male,a,135+,54+,18,12,16,,74,31,,,DNM,
L6,MWN 2158,Mus musculus,female,a,152+,64+,17,13,18,PAR,,,,,DNM,
L6,MWN 2159,Mus musculus,male,a,130+,44+,18,12,18,,73,42,,,DNM,
L6,MWN 2160,Mus musculus,female,a,131+,50+,17,13,17,PAR,,,,,DNM,
L6,MWN 2161,Mus musculus,male,a,134+,45+,18,12,14,,50,60,+,swollen right foot,DNM,
L6,MWN 2162,Mus musculus,female,a,147+,70+,16,13,14,PAR,,,,light belly,DNM,
L6,MWN 2163,Mus musculus,male,a,121+,40+,18,13,18,,40,60,+++,,MWN,
L6,MWN 2164,Mus musculus,female,a,155+,66+,17,12,22,"3R 3L, 6 mm",,,,,DNM,
L6,MWN 2165,Mus musculus,male,a,142+,52+,17,13,18,,49,26,++,,MWN,
L6,MWN 2166,Mus musculus,female,a,157+,63+,17,13,25,"1R 1L, 19 mm",,,,white patch on belly,DNM,
L6,MWN 2167,Mus musculus,male,a,125+,44+,17,12,15,,72,24,,,MWN,
L6,MWN 2168,Mus musculus,female,sa,129+,54+,17,12,13,NULL,,,,no frozen tissue,DNM,
L6,MWN 2169,Mus musculus,male,a,145+,61+,17,13,15,,55,41,,,MWN,
L6,MWN 2170,Mus musculus,female,a,119+,34+,17,13,21,"4R 2L, 19 mm",,,,,DNM,
L6,MWN 2171,Mus musculus,male,a,148+,63+,17,12,20,,67,29,++,,MWN,
L6,MWN 2172,Mus musculus,female,a,163+,67+,16,13,24,PAR,,,,no frozen tissue,DNM,
L6,MWN 2173,Mus musculus,male,a,132+,49+,17,13,18,,51,52,++,,MWN,
L6,MWN 2174,Mus musculus,female,a,138+,64+,16,12,15,PAR,,,,,DNM,
L6,MWN 2175,Mus musculus,male,a,150+,62+,19,13,19,,55,26,,,MWN ,
L6,MWN 2176,Mus musculus,female,a,151+,57+,18,12,24,"3R 3L, 6 mm",,,+,,DNM,
L6,MWN 2177,Mus musculus,male,a,140+,51+,18,13,20,,60,53,,,MWN,
L6,MWN 2178,Mus musculus,female,a,140+,52+,18,13,20,"5R 1L, 5 mm",,,,white patch on belly,DNM,
L7,MWN 2179,Mus musculus,male,a,135+,48+,17,12,22,,67,36,+++,right testes only; large tumor on colon,MWN,
L6,MWN 2180,Mus musculus,female,a,155+,66+,17,12,23,PAR,,,,,DNM, 
L7,MWN 2181,Mus musculus,male,a,130+,47+,18,13,17,,95,19,,,MWN,
L6,MWN 2182,Mus musculus,female,a,127+,35+,17,12,24,"4R 1L, 11 mm",,,,,MWN,
L7,MWN 2183,Mus musculus,male,a,117+,34+,18,12,19,,69,29,+,light belly,MWN,
L6,MWN 2184,Mus musculus,female,a,152+,66+,18,13,20,"6R 2L, 10 mm",,,,,MWN,
L7,MWN 2185,Mus musculus,male,a,140+,55+,18,13,18,,65,60,,,MWN,
L6,MWN 2186,Mus musculus,female,a,142+,48+,17,12,20,PAR,,,,,MWN,
L7,MWN 2187,Mus musculus,male,a,117+,45+,17,13,12,,57,22,,,MWN,
L6,MWN 2188,Mus musculus,female,a,116+,27+,17,13,19,"0R 6L, 3 mm",,,,pie bald,MWN,
L7,MWN 2189,Mus musculus,male,a,143+,66+,17,12,14,,50,3,,few sperm,MWN,
L6,MWN 2190,Mus musculus,female,a,155+,68+,17,12,14,NULL,,,,,MWN,
L7,MWN 2191,Mus musculus,male,a,118+,34+,18,12,17,,46,4,,,MWN,
L6,MWN 2192,Mus musculus,female,a,143+,54+,18,13,22,"3R 3L, 15 mm",,,,,MWN,
L7,MWN 2193,Mus musculus,male,a,113+,39+,17,12,18,,25,37,,no sperm visible,MWN,
L6,MWN 2194,Mus musculus,female,a,134+,52+,17,13,14,NULL,,,,,MWN,
L6,MWN 2195,Mus musculus,male,a,160+,72+,19,12,23,,83,71,+,,MWN,
L6,MWN 2196,Mus musculus,female,a,132+,43+,17,13,18,PAR,,,,light belly,MWN,
L7,MWN 2197,Mus musculus,female,a,162+,70+,18,13,21,PAR,,,,,MWN,
L6,MWN 2198,Mus musculus,female,a,133+,51+,17,13,20,"2R 3L, 13 mm",,,,,MWN,
L7,MWN 2199,Mus musculus,female,a,159+,66+,17,13,32,"4R 0L, 20 mm",,,,large overian cist,MWN,
L6,MWN 2200,Mus musculus,female,a,168,82,18,12,22,"2R 4L, 10 mm",,,,,MWN,
L7,MWN 2201,Mus musculus,female,a,140+,54+,17,13,20,"3R 1L, 5 mm",,,,,MWN,
L6,MWN 2202,Mus musculus,female,a,128+,43+,17,13,18,PAR,,,,,MWN,
L7,MWN 2203,Mus musculus,female,a,155+,70+,18,12,18,NULL,,,,,MWN,
L6,MWN 2204,Mus musculus,female,a,160+,65+,17,13,28,"3R 4L, 11 mm",,,,,MWN,
L7,MWN 2205,Mus musculus,female,a,142+,50+,17,12,21,PAR,,,,,MWN,
L6,MWN 2206,Mus musculus,female,a,120+,41+,17,12,14,NULL,,,,,MWN,
L7,MWN 2207,Mus musculus,female,a,123+,43+,17,13,16,PAR,,,,,MWN,
L6,MWN 2208,Mus musculus,female,a,140+,49+,18,13,22,PAR,,,,,MWN,
L7,MWN 2209,Mus musculus,female,a,133+,48+,17,13,18,PAR,,,,,MWN,
L6,MWN 2210,Mus musculus,female,a,133+,50+,17,13,17,"3R 1L, 1 mm",,,,,MWN,
L7,MWN 2211,Mus musculus,female,a,129+,52+,18,13,13,NULL,,,,,MWN,
L6,MWN 2212,Mus musculus,female,a,142+,53+,18,12,20,PAR,,,,,MWN,
L7,MWN 2213,Mus musculus,female,a,158+,72+,18,14,17,NULL,,,,,MWN,
L6,MWN 2214,Mus musculus,female,a,140+,54+,17,12,21,"2R 1L, 22 mm",,,,,MWN,
L7,MWN 2215,Mus musculus,female,a,130+,46+,18,13,24,"3R 1L, 20 mm",,,,,MWN,
L6,MWN 2216,Mus musculus,female,a,125+,37+,17,12,18,NULL,,,,,MWN,
L7,MWN 2217,Mus musculus,female,a,140+,53+,18,13,19,NULL,,,,,MWN,
L6,MWN 2218,Mus musculus,female,a,145+,62+,18,13,17,PAR,,,,,MWN,
L7,MWN 2219,Mus musculus,female,a,126+,41+,17,12,19,NULL,,,,,MWN,
L6,MWN 2220,Mus musculus,female,a,110+,21+,17,13,22,NULL,,,,,MWN,
L7,MWN 2221,Mus musculus,female,a,120+,37+,17,12,16,NULL,,,,,MWN,
L7,MWN 2222,Mus musculus,female,a,130+,39+,17,13,24,"3R 1L, 10 mm",,,,,MWN,
L6,MWN 2223,Mus musculus,female,a,142+,55+,117,12,19,"5R 3L, 6 mm",,,,,DNM,
L7,MWN 2224,Mus musculus,female,a,148+,65+,17,13,22,"2R 2L, 16 mm",,,,,MWN,
L7,MWN 2225,Mus musculus,female,a,126+,32+,16,13,27,"1R 1L, 19 mm",,,,,DNM,
L7,MWN 2226,Mus musculus,female,a,143+,62+,17,12,15,"0R 2L, 9 mm",,,,,MWN,
L7,MWN 2227,Mus musculus,male,a,133+,50+,17,12,17,,76,15,,light belly,DNM,
L7,MWN 2228,Mus musculus,female,a,129+,44+,17,13,18,PAR,,,,,DNM,
L7,MWN 2229,Mus musculus,male,sa,138+,56+,17,11,15,,43,1,,,DNM,
L7,MWN 2230,Mus musculus,female,a,151+,69+,18,12,18,PAR,,,,,DNM,
L7,MWN 2231,Mus musculus,male,a,145+,63+,17,12,18,,74,22,,,DNM,
L7,MWN 2232,Mus musculus,female,a,142+,60+,16,12,17,PAR,,,,ingrown lower incisors,DNM,
L7,MWN 2233,Mus musculus,male,a,86+,0+,17,12,19,,71,47,+,missing tail; fight wounds,DNM,
L7,MWN 2234,Mus musculus,female,a,150+,55+,18,13,23,PAR,,,,,DNM,
L7,MWN 2235,Mus musculus,male,a,157+,71+,18,13,20,,79,43,,light belly,MWN,
L7,MWN 2236,Mus musculus,female,a,111+,19+,17,14,22,PAR,,,,light belly,DNM,
L7,MWN 2237,Mus musculus,male,a,144+,61+,18,13,17,,56,9,,,MWN,
L7,MWN 2238,Mus musculus,female,a,145+,65+,17,12,18,"2R 2L, 9 mm",,,,,DNM,
L7,MWN 2239,Mus musculus,male,a,140+,60+,17,12,16,,36,45,,very few sperm,MWN,
L7,MWN 2240,Mus musculus,female,a,174,83,18,12,25,"4R 4L, 8 mm",,,,,DNM,
L7,MWN 2241,Mus musculus,male,a,127+,40+,17,13,16,,50,14,,,MWN,
L7,MWN 2242,Mus musculus,female,a,152+,65+,19,13,28,"1R 4L, 19 mm",,,,,DNM,
L7,MWN 2243,Mus musculus,male,a,131+,49+,17,12,17,,71,34,,,MWN,
L7,MWN 2244,Mus musculus,female,a,109+,25+,18,12,21,"3R 3L, 7 mm",,,,white spot on belly,DNM,
L7,MWN 2245,Mus musculus,male,a,147+,67+,18,12,16,,82,32,,,MWN,
L7,MWN 2246,Mus musculus,female,a,132+,49+,17,13,17,"1R 3L, 4 mm",,,,,DNM,
L7,MWN 2247,Mus musculus,male,a,157+,72+,18,13,17,,63,23,,,MWN,
L7,MWN 2248,Mus musculus,female,a,123+,40+,17,13,18,PAR,,,,,DNM,
L7,MWN 2249,Mus musculus,male,a,140+,58+,18,12,17,,61,18,,,MWN,
L7,MWN 2250,Mus musculus,female,a,156+,72+,18,12,21,PAR,,,,,DNM,
L7,MWN 2251,Mus musculus,female,a,136+,58+,17,13,18,PAR,,,,,DNM,
L7,MWN 2252,Mus musculus,female,a,146+,60+,18,12,18,PAR,,,,,DNM,
L7,MWN 2253,Mus musculus,female,a,136+,50+,17,13,28,"3R 3L, 18 mm",,,,,MWN,
L7,MWN 2254,Mus musculus,female,a,127+,48+,17,13,23,"1R 3L, 20 mm",,,,,MWN,
L7,MWN 2255,Mus musculus,male,a,120+,33+,18,13,22,,89,64,,,MWN,
L7,MWN 2256,Mus musculus,female,a,144+,60+,17,13,18,PAR,,,,,MWN,
L7,MWN 2257,Mus musculus,male,a,135+,52+,17,13,16,,71,52,,,MWN,
L7,MWN 2258,Mus musculus,female,a,150+,62+,18,13,21,PAR,,,,,MWN,
L7,MWN 2259,Mus musculus,female,a,128+,49+,17,13,15,NULL,,,,,MWN,
L7,MWN 2260,Mus musculus,female,a,139+,63+,16,12,14,NULL,,,,,MWN,
L7,MWN 2261,Mus musculus,female,a,130+,45+,17,13,18,NULL,,,,,MWN,
L7,MWN 2262,Mus musculus,female,a,140+,50+,17,14,22,PAR,,,,,MWN,
L7,MWN 2263,Mus musculus,female,a,150+,66+,17,13,18,NULL,,,,,MWN,
L7,MWN 2264,Mus musculus,female,a,138+,52+,17,13,26,"3R 1L, 23 mm",,,,,MWN,
L7,MWN 2265,Mus musculus,female,a,138+,52+,18,14,25,"3R 2L, 21 mm",,,,light belly,MWN,
L7,MWN 2266,Mus musculus,female,a,133+,51+,18,12,17,"3R 2L, 8 mm",,,,,MWN,
L7,MWN 2267,Mus musculus,female,a,155+,67+,18,13,24,"3R 2L, 20 mm",,,,,MWN,
L7,MWN 2268,Mus musculus,female,a,114+,34+,17,12,15,"2R 3L, 4 mm",,,,,MWN,
L7,MWN 2269,Mus musculus,female,a,137+,52+,17,13,21,"2R 4L, 8 mm",,,,,MWN,
L7,MWN 2270,Mus musculus,female,a,140+,57+,18,13,15,PAR,,,,,MWN,
L7,MWN 2271,Mus musculus,female,a,120+,40+,18,12,24,"3R 2L, 20 mm",,,,,MWN,
L7,MWN 2272,Mus musculus,female,a,154+,65+,17,13,20,"4R 2L, 5 mm",,,,,MWN,
L8,MWN 2273,Mus musculus,male,a,157+,69+,18,13,20,,67,26,,,MWN,
L7,MWN 2274,Mus musculus,female,sa,130+,53+,16,12,13,NULL,,,,,MWN,
L8,MWN 2275,Mus musculus,male,a,146+,60+,17,13,18,,49,22,,,MWN,
L7,MWN 2276,Mus musculus,female,a,135+,43+,16,13,22,PAR,,,,,MWN,
L8,MWN 2277,Mus musculus,male,a,152+,68+,18,12,17,,73,20,,,MWN,
L8,MWN 2278,Mus musculus,female,a,128+,37+,18,13,22,PAR,,,,,MWN,
L8,MWN 2279,Mus musculus,male,a,137+,53+,18,13,18,,49,31,,,MWN,
L8,MWN 2280,Mus musculus,female,a,153+,60+,17,12,24,"4R 0L, 4 mm",,,,,MWN,
L7,MWN 2281,Mus musculus,male,a,131+,52+,17,12,15,,53,10,,,MWN,
L8,MWN 2282,Mus musculus,female,a,160+,68+,18,13,22,PAR,,,,,MWN,
L8,MWN 2283,Mus musculus,male,a,155+,70+,18,13,14,,72,37,,,MWN,
L8,MWN 2284,Mus musculus,female,a,154+,63+,18,13,18,PAR,,,,,MWN,
L8,MWN 2285,Mus musculus,male,a,160+,65+,18,12,22,,84,33,++,,MWN,
L8,MWN 2286,Mus musculus,female,a,127+,43+,18,13,16,NULL,,,,,MWN,
L8,MWN 2287,Mus musculus,male,a,120+,37+,17,12,18,,75,28,,,MWN,
L8,MWN 2288,Mus musculus,female,a,146+,65+,17,12,15,NULL,,,,,MWN,
L8,MWN 2289,Mus musculus,male,a,132+,41+,18,12,19,,78,61,,,MWN,
L8,MWN 2290,Mus musculus,female,a,166,79,18,13,24,"3R 2L, 15 mm",,,,,MWN,
L8,MWN 2291,Mus musculus,male,a,132+,48+,18,13,19,,68,47,,,MWN,
L7,MWN 2292,Mus musculus,female,a,141+,57+,17,13,21,"3R 3L, 7 mm",,,,light belly,MWN,
L8,MWN 2293,Mus musculus,male,a,155+,69+,18,13,22,,81,50,+++,,DNM,
L8,MWN 2294,Mus musculus,female,a,144+,49+,18,13,25,PAR,,,,,MWN,
L8,MWN 2295,Mus musculus,male,a,134+,51+,18,13,19,,77,45,+,,DNM,
L8,MWN 2296,Mus musculus,female,a,155+,67+,18,13,20,"3R 2L, 8 mm",,,,,MWN,
L8,MWN 2297,Mus musculus,male,a,145+,63+,17,12,16,,61,24,,,DNM,
L8,MWN 2298,Mus musculus,female,a,152+,63+,17,13,21,PAR,,,,,MWN,
L8,MWN 2299,Mus musculus,male,sa,138+,59+,17,12,16,,71,19,,,DNM,
L8,MWN 2300,Mus musculus,female,a,159+,76+,18,13,20,PAR,,,,,DNM,
L8,MWN 2301,Mus musculus,male,a,150+,61+,19,13,20,,73,24,,,DNM,
L8,MWN 2302,Mus musculus,female,a,143+,62+,17,12,21,"0R 5L, 9 mm",,,,light belly,DNM,
L8,MWN 2303,Mus musculus,male,a,129+,45+,18,13,19,,76,15,,,DNM,
L8,MWN 2304,Mus musculus,female,a,162+,74+,18,13,27,"2R 4L, 8 mm",,,,,DNM,
L8,MWN 2305,Mus musculus,male,a,139+,60+,18,12,16,,59,14,,,DNM,
L8,MWN 2306,Mus musculus,female,a,151+,64+,18,13,23,"1R 1L, 21 mm",,,,,DNM,
L8,MWN 2307,Mus musculus,male,a,149+,56+,19,13,22,,46,24,+,light belly; swollen right foot,DNM,
L8,MWN 2308,Mus musculus,female,a,143+,49+,17,13,24,PAR,,,,,DNM,
L8,MWN 2309,Mus musculus,male,a,125+,45+,19,11,18,,31,42,,,DNM,
L8,MWN 2310,Mus musculus,female,a,155+,63+,18,13,29,"1R 1L, 21 mm",,,,,DNM,
