Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L1,MWN 1814,Mus musculus,male,sa,119+,50+,17,13,12,,50,1,,,MWN,
L1,MWN 1815,Mus musculus,male,sa,158,76,17,13,14,,36,1,,,MWN,
L1,MWN 1816,Mus musculus,female,a,153+,68+,17,13,14,0,,,,,MWN,
L1,MWN 1817,Mus musculus,male,sa,138+,62+,18,13,13,,37,1,,,MWN,
L1,MWN 1818,Mus musculus,female,a,125+,42+,17,13,15,"2R 2L, 9 mm",,,,,MWN,
L1,MWN 1819,Mus musculus,male,sa,129+,52+,17,13,13,,35,1,,,MWN,
L1,MWN 1820,Mus musculus,female,a,136+,53+,17,13,17,0,,,,,MWN,
L2,MWN 1821,Mus musculus,male,a,145+,58+,18,13,22,,71,52,,,MWN,
L2,MWN 1822,Mus musculus,female,a,143+,50+,16,13,24,"2R 0L, 10 mm",,,,,MWN,
L2,MWN 1823,Mus musculus,male,a,124+,40+,18,13,20,,56,43,,,MWN,
L2,MWN 1824,Mus musculus,female,a,155+,64+,18,13,20,0,,,,,MWN,
L2,MWN 1825,Mus musculus,male,a,116+,35+,17,11,15,,41,1,+,,MWN,
L2,MWN 1826,Mus musculus,female,a,141+,47+,17,13,20,0,,,,,MWN,
L2,MWN 1827,Mus musculus,male,a,125+,43+,18,12,16,,74,40,+,,MWN,
L2,MWN 1828,Mus musculus,female,a,139+,51+,17,13,19,0,,,,,MWN,
L2,MWN 1829,Mus musculus,male,a,126+,39+,16,11,20,,45,45,,,MWN,
L2,MWN 1830,Mus musculus,female,a,145+,62+,17,13,22,"3R 2L, 14 mm",,,,,MWN,
L2,MWN 1831,Mus musculus,male,a,151+,66+,18,14,22,,84,41,,,MWN,
L2,MWN 1832,Mus musculus,male,a,130+,49+,17,13,18,,67,92,,,MWN,
L2,MWN 1833,Mus musculus,male,a,128+,43+,17,13,17,,68,59,,,MWN,
L2,MWN 1834,Mus musculus,male,a,116+,37+,17,13,17,,69,59,,,MWN,
L2,MWN 1835,Mus musculus,male,a,125+,42+,18,13,19,,82,55,,,MWN,
L2,MWN 1836,Mus musculus,male,a,146+,61+,18,13,20,,52,35,,,MWN,
L2,MWN 1837,Mus musculus,male,a,153+,68+,18,13,21,,87,90,+,,MWN,
L2,MWN 1838,Mus musculus,male,a,145+,52+,18,13,24,,96,77,,,MWN,
L2,MWN 1839,Mus musculus,male,a,148+,68+,17,13,19,,63,46,,,MWN,
L2,MWN 1840,Mus musculus,female,a,128+,40+,18,13,25,"2R 3L, 13 mm",,,,,MWN,
L2,MWN 1841,Mus musculus,male,a,120+,35+,17,13,19,,83,93,,,MWN,
L2,MWN 1842,Mus musculus,female,a,170+,83+,18,13,23,PAR,,,,,MWN,
L2,MWN 1843,Mus musculus,female,a,146+,56+,18,13,23,"2R 0L, 5 mm",,,,,MWN,
L2,MWN 1844,Mus musculus,female,a,156+,65+,18,13,22,PAR,,,,,MWN,
L2,MWN 1845,Mus musculus,female,a,146+,63+,17,13,23,"5R 1L, 16 mm",,,,,MWN,
L2,MWN 1846,Mus musculus,female,a,141+,50+,17,12,23,"2R 5L, 11 mm",,,,,MWN,
L2,MWN 1847,Mus musculus,female,a,156+,66+,18,13,24,"5R 3L, 11 mm",,,,,MWN,
L2,MWN 1848,Mus musculus,male,a,137+,50+,18,13,21,,110,52,,,MWN,
